key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
a	[8.33, 0.34, 9.08, 1.83, 11.31, 12.83, 2.33, 1.33, 6.64, 11.84, 4.25, 7.08]	0.0	28.0	27.98	1	7	6
F	[1.25, 0.0, 0.0, 0.0, 0.5, 1.5, 0.0, 2.0, 0.0, 0.0, 1.25, 0.0]	28.0	30.0	2.0	8	8	0
d	[0.0, 2.0, 0.0, 0.0, 1.5, 0.5, 0.0, 0.5, 0.0, 2.5, 0.0, 0.0]	30.0	32.0	2.0	8	8	0
a	[14.92, 0.0, 9.75, 1.0, 14.08, 11.5, 1.09, 1.0, 4.33, 21.75, 4.25, 8.91]	32.0	64.0	32.0	9	16	7
C	[5.5, 0.75, 6.5, 1.0, 4.75, 2.5, 1.0, 7.25, 0.0, 3.75, 0.5, 2.0]	64.0	73.0	9.0	17	19	2
e	[0.0, 0.0, 0.0, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 1.0, 0.0, 2.0]	73.0	74.0	1.0	19	19	0
f	[3.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.5, 0.5, 0.5, 0.0]	74.0	76.0	2.0	19	19	0
g	[1.5, 0.0, 2.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.5, 0.5, 0.5]	76.0	78.0	2.0	20	20	0
c	[1.0, 0.0, 2.0, 0.0, 0.0, 3.0, 0.0, 2.5, 0.5, 0.5, 0.0, 0.5]	78.0	80.0	2.0	20	20	0
C	[4.0, 1.0, 6.75, 0.0, 4.5, 4.0, 0.5, 5.0, 0.0, 6.5, 0.0, 0.5]	80.0	88.0	8.0	21	22	1
E	[0.0, 0.5, 1.0, 3.0, 4.5, 0.0, 3.5, 0.0, 4.0, 3.5, 0.0, 13.5]	88.0	96.0	8.0	23	24	1
a	[5.25, 0.0, 6.0, 1.5, 7.25, 7.25, 2.0, 0.0, 1.0, 7.75, 1.75, 6.25]	96.0	108.0	12.0	25	27	2
F	[1.75, 0.0, 0.0, 0.0, 0.5, 1.5, 0.0, 2.0, 0.0, 0.0, 1.75, 0.0]	108.0	110.0	2.0	28	28	0
d	[0.0, 2.0, 1.5, 0.0, 3.0, 1.0, 0.0, 0.5, 0.0, 3.0, 0.0, 0.0]	110.0	113.0	3.0	28	29	1
a	[13.42, 2.0, 6.75, 1.0, 17.58, 14.5, 0.84, 0.0, 12.33, 19.0, 1.75, 14.16]	113.0	144.0	31.0	29	36	7
d	[0.0, 0.5, 0.5, 0.5, 2.5, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0]	144.0	146.0	2.0	37	37	0
Bb	[2.5, 0.0, 1.5, 6.0, 0.0, 4.0, 1.0, 2.0, 1.0, 4.0, 0.0, 1.0]	146.0	151.0	5.0	37	38	1
C	[7.0, 0.0, 0.75, 0.75, 5.0, 1.5, 0.0, 6.0, 0.0, 2.0, 0.5, 1.5]	151.0	157.0	6.0	38	40	2
a	[14.0, 9.0, 13.0, 0.5, 33.75, 16.5, 0.5, 0.0, 12.5, 30.5, 1.25, 16.75]	157.0	200.5	43.5	40	51	11
