key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
b	[0.0, 32.67, 30.0, 0.0, 11.0, 0.0, 130.0, 24.53, 0.5, 0.0, 26.67, 44.67]	0.0	51.0	51.01	1	17	16
d	[0.5, 10.0, 23.5, 0.0, 18.0, 18.0, 6.0, 12.0, 6.0, 20.0, 25.5, 4.5]	51.0	72.0	21.0	18	24	6
b	[0.0, 43.67, 45.5, 0.0, 23.5, 0.0, 159.5, 26.53, 0.5, 0.5, 27.17, 70.17]	72.0	138.0	66.01	25	46	21
d	[0.0, 9.5, 26.5, 0.0, 22.0, 19.5, 7.5, 12.0, 6.0, 16.0, 21.0, 4.0]	138.0	159.0	21.0	47	53	6
b	[0.0, 22.17, 19.5, 0.0, 9.0, 0.0, 76.5, 20.53, 0.5, 0.5, 17.67, 32.17]	159.0	195.0	36.01	54	65	11
B	[0.0, 10.43, 0.0, 11.5, 7.23, 0.0, 31.17, 0.0, 1.82, 0.0, 2.0, 14.76]	195.0	222.0	26.97	66	74	8
b	[0.0, 1.32, 5.79, 0.0, 1.49, 0.0, 6.61, 0.66, 0.0, 0.0, 0.0, 8.58]	222.0	231.0	8.92	75	77	2
d	[0.0, 4.5, 10.7, 0.0, 8.33, 5.62, 4.5, 6.66, 3.0, 5.73, 0.75, 1.75]	231.0	249.0	17.95	78	83	5
b	[0.0, 3.24, 0.99, 0.0, 3.24, 0.0, 13.77, 3.02, 0.0, 0.5, 0.75, 1.49]	249.0	258.0	9.0	84	86	2
B	[0.0, 7.48, 0.0, 10.98, 13.44, 0.0, 9.9, 11.5, 0.0, 0.0, 11.42, 20.27]	258.0	284.0	25.94	87	95	8
c#	[0.99, 4.62, 0.0, 3.63, 4.46, 0.0, 2.81, 0.0, 4.31, 0.0, 0.0, 0.0]	284.0	291.0	6.94	95	97	2
B	[0.0, 1.67, 0.0, 1.32, 0.33, 0.0, 7.98, 0.0, 0.0, 0.0, 1.34, 5.36]	291.0	297.0	6.0	98	99	1
g#	[0.0, 5.94, 0.0, 17.52, 6.28, 0.0, 0.0, 7.92, 3.96, 0.0, 8.27, 0.66]	297.0	315.0	17.84	100	105	5
c#	[1.98, 5.94, 0.0, 4.29, 5.12, 0.0, 3.14, 0.0, 6.29, 0.0, 0.0, 0.0]	315.0	324.0	8.92	106	108	2
B	[3.31, 2.84, 9.78, 1.32, 3.64, 0.0, 32.82, 4.51, 0.0, 0.0, 2.33, 28.27]	324.0	348.0	23.94	109	117	8
