id,composers,title,movement_no,movement_title,annotator,musicbrainz_id,wikidata_id,imslp_id,file_path,jams_path
mozart-piano-sonatas_0,Wolfgang Amadeus Mozart,Piano Sonata no. 1 in C major,1,Allegro,Uli Kneisel,https://musicbrainz.org/work/62c0bdd8-46ca-4e17-879c-443ad9fd599e,http://www.wikidata.org/entity/Q2194957,"https://imslp.org/wiki/Piano_Sonata_No.1_in_C_major,_K.279/189d_(Mozart,_Wolfgang_Amadeus)",./K279-1.mscx,../../partitions/mozart-piano-sonatas/choco/jams/mozart-piano-sonatas_0.jams
mozart-piano-sonatas_1,Wolfgang Amadeus Mozart,Piano Sonata no. 1 in C major,2,Andante,Uli Kneisel,https://musicbrainz.org/work/62c0bdd8-46ca-4e17-879c-443ad9fd599e,http://www.wikidata.org/entity/Q2194958,"https://imslp.org/wiki/Piano_Sonata_No.1_in_C_major,_K.279/189d_(Mozart,_Wolfgang_Amadeus)",./K279-2.mscx,../../partitions/mozart-piano-sonatas/choco/jams/mozart-piano-sonatas_1.jams
mozart-piano-sonatas_2,Wolfgang Amadeus Mozart,Piano Sonata no. 1 in C major,3,Allegro,Uli Kneisel,https://musicbrainz.org/work/62c0bdd8-46ca-4e17-879c-443ad9fd599e,http://www.wikidata.org/entity/Q2194959,"https://imslp.org/wiki/Piano_Sonata_No.1_in_C_major,_K.279/189d_(Mozart,_Wolfgang_Amadeus)",./K279-3.mscx,../../partitions/mozart-piano-sonatas/choco/jams/mozart-piano-sonatas_2.jams
mozart-piano-sonatas_3,Wolfgang Amadeus Mozart,Piano Sonata no. 2 in F major,1,Allegro assai,Uli Kneisel,https://musicbrainz.org/work/52912ca4-855d-451d-9abb-d3e3a353e6d2,http://www.wikidata.org/entity/Q954538,"https://imslp.org/wiki/Piano_Sonata_No.2_in_F_major,_K.280/189e_(Mozart,_Wolfgang_Amadeus)",./K280-1.mscx,../../partitions/mozart-piano-sonatas/choco/jams/mozart-piano-sonatas_3.jams
mozart-piano-sonatas_4,Wolfgang Amadeus Mozart,Piano Sonata no. 2 in F major,2,Adagio,Uli Kneisel,https://musicbrainz.org/work/52912ca4-855d-451d-9abb-d3e3a353e6d3,http://www.wikidata.org/entity/Q954539,"https://imslp.org/wiki/Piano_Sonata_No.2_in_F_major,_K.280/189e_(Mozart,_Wolfgang_Amadeus)",./K280-2.mscx,../../partitions/mozart-piano-sonatas/choco/jams/mozart-piano-sonatas_4.jams
mozart-piano-sonatas_5,Wolfgang Amadeus Mozart,Piano Sonata no. 2 in F major,3,Presto,Uli Kneisel,https://musicbrainz.org/work/52912ca4-855d-451d-9abb-d3e3a353e6d4,http://www.wikidata.org/entity/Q954540,"https://imslp.org/wiki/Piano_Sonata_No.2_in_F_major,_K.280/189e_(Mozart,_Wolfgang_Amadeus)",./K280-3.mscx,../../partitions/mozart-piano-sonatas/choco/jams/mozart-piano-sonatas_5.jams
mozart-piano-sonatas_6,Wolfgang Amadeus Mozart,Piano Sonata no. 3 in B flat major,1,Allegro,Uli Kneisel,https://musicbrainz.org/work/4495fb34-25b6-48f9-9a53-e2caa9ac8a2c,http://www.wikidata.org/entity/Q2061529,"https://imslp.org/wiki/Piano_Sonata_No.3_in_B-flat_major,_K.281/189f_(Mozart,_Wolfgang_Amadeus)",./K281-1.mscx,../../partitions/mozart-piano-sonatas/choco/jams/mozart-piano-sonatas_6.jams
mozart-piano-sonatas_7,Wolfgang Amadeus Mozart,Piano Sonata no. 3 in B flat major,2,Andante amoroso,Uli Kneisel,https://musicbrainz.org/work/4495fb34-25b6-48f9-9a53-e2caa9ac8a2c,http://www.wikidata.org/entity/Q2061530,"https://imslp.org/wiki/Piano_Sonata_No.3_in_B-flat_major,_K.281/189f_(Mozart,_Wolfgang_Amadeus)",./K281-2.mscx,../../partitions/mozart-piano-sonatas/choco/jams/mozart-piano-sonatas_7.jams
mozart-piano-sonatas_8,Wolfgang Amadeus Mozart,Piano Sonata no. 3 in B flat major,3,Rondeau – Allegro,Uli Kneisel,https://musicbrainz.org/work/4495fb34-25b6-48f9-9a53-e2caa9ac8a2c,http://www.wikidata.org/entity/Q2061531,"https://imslp.org/wiki/Piano_Sonata_No.3_in_B-flat_major,_K.281/189f_(Mozart,_Wolfgang_Amadeus)",./K281-3.mscx,../../partitions/mozart-piano-sonatas/choco/jams/mozart-piano-sonatas_8.jams
mozart-piano-sonatas_9,Wolfgang Amadeus Mozart,Piano Sonata no. 4 in E flat major,1,Adagio,Uli Kneisel,https://musicbrainz.org/work/97cc4159-c124-48a6-92ae-d05e8175cb2b,http://www.wikidata.org/entity/Q3964687,"https://imslp.org/wiki/Piano_Sonata_No.4_in_E-flat_major,_K.282/189g_(Mozart,_Wolfgang_Amadeus)",./K282-1.mscx,../../partitions/mozart-piano-sonatas/choco/jams/mozart-piano-sonatas_9.jams
mozart-piano-sonatas_10,Wolfgang Amadeus Mozart,Piano Sonata no. 4 in E flat major,2,Menuetto I and Menuetto II,Uli Kneisel,https://musicbrainz.org/work/97cc4159-c124-48a6-92ae-d05e8175cb2b,http://www.wikidata.org/entity/Q3964688,"https://imslp.org/wiki/Piano_Sonata_No.4_in_E-flat_major,_K.282/189g_(Mozart,_Wolfgang_Amadeus)",./K282-2.mscx,../../partitions/mozart-piano-sonatas/choco/jams/mozart-piano-sonatas_10.jams
