key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
Db	[15.0, 15.5, 0.0, 19.5, 8.0, 13.5, 6.5, 3.0, 37.0, 4.0, 14.5, 0.0]	0.0	32.0	32.0	1	7	6
bb	[10.0, 1.5, 0.0, 7.5, 1.0, 7.5, 5.0, 0.0, 0.0, 3.5, 3.5, 0.0]	32.0	40.0	8.0	7	8	1
Db	[6.0, 11.5, 0.0, 8.5, 1.5, 4.0, 8.5, 0.0, 13.5, 0.0, 6.5, 0.0]	40.0	53.0	13.0	9	11	2
f	[10.99, 2.5, 0.0, 1.0, 4.0, 1.99, 0.0, 4.5, 4.65, 1.0, 2.33, 0.0]	53.0	60.0	6.99	11	12	1
Db	[5.49, 11.99, 0.0, 5.49, 5.5, 4.99, 5.49, 1.33, 24.96, 0.0, 7.82, 0.0]	60.0	75.0	14.98	13	15	2
ab	[0.0, 5.0, 0.0, 13.0, 1.99, 0.0, 0.0, 6.33, 12.65, 0.0, 6.16, 9.98]	75.0	85.0	9.99	16	17	1
f	[0.0, 4.33, 0.0, 0.0, 4.99, 0.0, 4.99, 0.0, 0.0, 0.0, 6.32, 1.33]	85.0	90.0	4.99	18	18	0
Ab	[6.5, 5.0, 5.0, 16.5, 0.0, 13.0, 0.0, 5.0, 12.5, 0.0, 11.0, 0.0]	90.0	105.0	15.0	19	21	2
Db	[27.33, 43.98, 1.0, 52.98, 16.0, 11.5, 33.99, 7.0, 74.0, 18.0, 27.49, 5.0]	105.0	172.0	66.99	22	35	13
bb	[7.0, 1.0, 0.0, 4.0, 1.0, 9.0, 3.5, 0.0, 0.0, 1.0, 3.5, 0.0]	172.0	180.0	8.0	35	36	1
Db	[4.5, 39.99, 0.0, 14.49, 0.0, 11.5, 9.49, 0.0, 29.33, 0.0, 5.49, 0.0]	180.0	197.0	16.99	37	40	3
