key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
Ab	[5.5, 4.5, 0.0, 12.5, 0.0, 3.5, 0.0, 2.0, 13.0, 0.0, 4.0, 0.0]	0.0	9.0	9.0	1	3	2
f	[3.5, 3.0, 0.0, 0.5, 1.5, 4.0, 0.0, 2.0, 4.0, 0.0, 0.0, 1.5]	9.0	14.0	5.0	4	5	1
Ab	[13.0, 11.5, 1.0, 17.0, 1.0, 6.5, 0.5, 5.0, 28.0, 0.0, 9.0, 0.0]	14.0	36.0	22.0	5	10	5
ab	[2.0, 18.0, 7.5, 46.0, 13.5, 1.0, 2.5, 6.0, 56.0, 0.0, 19.5, 20.0]	36.0	78.0	42.0	11	21	10
