COMPOSER	COLLECTION	MOVEMENT	SCORE
Bach, Johann Sebastian	The Well-Tempered Clavier I	01	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	02	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	03	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	04	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	05	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	06	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	07	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	08	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	09	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	10	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	11	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	12	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	13	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	14	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	15	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	16	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	17	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	18	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	19	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	20	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	21	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	22	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	23	YES
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	YES
