COMPOSER	COLLECTION	MOVEMENT	SCORE	URL
Brahms, Johannes	6 Songs, Op.3	3 Liebe und Frühling II	YES	https://musescore.com/score/5004701
Brahms, Johannes	7 Lieder, Op.48	3 Liebesklage des Mädchens	YES	https://musescore.com/score/4946239
Burleigh, Harry Thacker	5 Songs of Laurence Hope	2 The Jungle Flower	YES	https://musescore.com/score/6518134
Burleigh, Harry Thacker	5 Songs of Laurence Hope	5 Till I Wake	YES	https://musescore.com/score/6471199
Chaminade, Cécile	 	Amoroso	YES	https://musescore.com/score/4999292
Chaminade, Cécile	 	Berceuse	YES	https://musescore.com/score/6264559
Chaminade, Cécile	 	Sur la plage	YES	https://musescore.com/score/5000363
Chausson, Ernest	7 Mélodies, Op.2	7 Le Colibri	YES	https://musescore.com/score/5077780
Coleridge-Taylor, Samuel	6 Sorrow Songs, Op.57	1 Oh what comes over the Sea	YES	https://musescore.com/score/6189652
Coleridge-Taylor, Samuel	6 Sorrow Songs, Op.57	2 When I am dead, my dearest	YES	https://musescore.com/score/6189644
Coleridge-Taylor, Samuel	6 Sorrow Songs, Op.57	3 Oh, Roses for the flush of youth	YES	https://musescore.com/score/6189637
Coleridge-Taylor, Samuel	6 Sorrow Songs, Op.57	4 She sat and sang alway	YES	https://musescore.com/score/6189628
Coleridge-Taylor, Samuel	6 Sorrow Songs, Op.57	5 Unmindful of the Roses	YES	https://musescore.com/score/6189622
Coleridge-Taylor, Samuel	6 Sorrow Songs, Op.57	6 Too late for love	YES	https://musescore.com/score/6189616
Coleridge-Taylor, Samuel	 	Oh, the Summer	YES	https://musescore.com/score/6232117
Franz, Robert	6 Gesänge, Op.14	5 Liebesfrühling	YES	https://musescore.com/score/4976682
Hensel, Fanny (Mendelssohn)	3 Lieder	1 Sehnsucht	YES	https://musescore.com/score/6012947
Hensel, Fanny (Mendelssohn)	3 Lieder	2 Verlust	YES	https://musescore.com/score/6013106
Hensel, Fanny (Mendelssohn)	5 Lieder, Op.10	1 Nach Süden	YES	https://musescore.com/score/5000467
Hensel, Fanny (Mendelssohn)	5 Lieder, Op.10	2 Vorwurf	YES	https://musescore.com/score/5000464
Hensel, Fanny (Mendelssohn)	5 Lieder, Op.10	3 Abendbild	YES	https://musescore.com/score/4919798
Hensel, Fanny (Mendelssohn)	5 Lieder, Op.10	4 Im Herbste	YES	https://musescore.com/score/5000459
Hensel, Fanny (Mendelssohn)	5 Lieder, Op.10	5 Bergeslust	YES	https://musescore.com/score/5000446
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.1	1 Schwanenlied	YES	https://musescore.com/score/5100543
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.1	2 Wanderlied	YES	https://musescore.com/score/5004632
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.1	3 Warum sind denn die Rosen so blass	YES	https://musescore.com/score/5004640
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.1	4 Mayenlied	YES	https://musescore.com/score/5101299
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.1	5 Morgenständchen	YES	https://musescore.com/score/5004650
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.1	6 Gondellied	YES	https://musescore.com/score/5101361
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.9	1 Die Ersehnte	YES	https://musescore.com/score/4986023
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.9	2 Ferne	YES	https://musescore.com/score/5103883
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.9	3 Der Rosenkranz	YES	https://musescore.com/score/5108166
