key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
Bb	[33.41, 3.63, 42.57, 23.8, 3.3, 72.29, 0.0, 12.9, 0.0, 11.28, 52.96, 0.68]	0.0	75.0	74.45	1	38	37
Ab	[2.97, 2.99, 0.0, 10.93, 0.0, 0.5, 0.0, 2.99, 2.97, 0.0, 1.98, 0.0]	75.0	81.0	5.96	38	41	3
d	[0.0, 0.33, 0.0, 0.0, 0.67, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]	81.0	82.0	1.0	41	41	0
Bb	[3.06, 0.0, 10.06, 0.66, 0.0, 8.31, 0.0, 0.33, 0.0, 0.33, 7.81, 0.0]	82.0	90.0	7.97	42	45	3
d	[0.0, 2.0, 9.86, 0.66, 3.34, 6.63, 0.0, 1.67, 0.0, 8.31, 1.33, 0.0]	90.0	98.0	7.97	46	49	3
Ab	[0.0, 2.0, 0.0, 12.0, 1.0, 0.0, 0.0, 6.0, 4.0, 0.0, 6.0, 2.0]	98.0	106.0	8.0	50	53	3
bb	[13.6, 16.56, 2.0, 5.97, 4.33, 22.55, 3.32, 4.0, 0.0, 9.28, 20.86, 0.0]	106.0	134.0	27.84	54	67	13
Db	[2.0, 8.95, 0.0, 6.27, 0.0, 6.97, 9.92, 0.0, 35.78, 0.0, 2.64, 0.0]	134.0	151.0	16.89	68	76	8
bb	[0.0, 0.66, 0.0, 0.0, 0.0, 1.32, 0.0, 0.0, 0.0, 1.98, 1.98, 0.0]	151.0	153.0	1.98	76	77	1
Bb	[4.0, 0.0, 10.77, 0.0, 0.0, 8.61, 0.0, 0.0, 0.0, 0.68, 6.98, 0.0]	153.0	162.0	8.96	77	81	4
Eb	[1.32, 0.0, 2.0, 3.3, 0.0, 0.0, 0.0, 3.64, 0.0, 0.0, 0.0, 0.34]	162.0	165.0	2.98	82	83	1
Ab	[3.96, 2.99, 0.0, 10.93, 0.5, 0.0, 0.0, 2.99, 2.97, 0.0, 0.99, 0.0]	165.0	171.0	5.96	83	86	3
Bb	[2.56, 0.33, 11.14, 0.5, 1.32, 9.14, 0.0, 0.99, 0.0, 0.66, 8.39, 0.0]	171.0	180.0	8.96	86	90	4
d	[0.0, 2.0, 8.19, 0.0, 3.32, 5.97, 0.0, 1.82, 0.0, 9.79, 1.32, 0.0]	180.0	187.0	6.96	91	94	3
Bb	[4.0, 0.0, 5.99, 22.0, 0.0, 22.97, 5.0, 2.0, 0.34, 4.0, 33.91, 0.0]	187.0	204.0	16.96	94	103	9
