type,time,duration,original,converted
chord,1.1,4.0,Ab major:I,Ab:maj
chord,2.1,4.0,Ab major:I,Ab:maj
chord,3.1,2.0,Ab major:viio/42,Fb:hdim7/b7
chord,3.3,2.0,Ab major:IV6,F:maj/3
chord,4.1,4.0,Ab major:V7,Eb:7
chord,5.1,4.0,Ab major:V7,Eb:7
chord,6.1,4.0,Ab major:I,Ab:maj
chord,7.1,2.0,Ab major:ii65/IV,Gb:min7/b3
chord,7.3,2.0,Ab major:V42/IV,Gb:7/b7
chord,8.1,3.0,Ab major:IV6,F:maj/3
chord,8.4,1.0,Bb minor:i,Bb:min
chord,9.1,4.0,Bb minor:iv7,Eb:min7
chord,10.1,1.0,Bb minor:V7,F:7
chord,10.2,1.0,Bb minor:V65,A:7/3
chord,10.3,1.0,Bb minor:i,Bb:min
chord,10.4,1.0,Bb minor:i6,Db:min/b3
chord,11.1,1.0,Bb minor:iv,Eb:min
chord,11.2,1.0,Bb minor:iv6,Gb:min/b3
chord,11.3,1.0,Ab major:V,Eb:maj
chord,11.4,1.0,Ab major:V65/ii,A:7/3
chord,12.1,1.0,Ab major:ii,Bb:min
chord,12.2,3.0,Ab major:viio6,Bb:dim/b3
chord,13.1,1.0,Ab major:iii,C:min
chord,13.2,3.0,Ab major:I6,C:maj/3
chord,14.1,2.0,Ab major:IV,Db:maj
chord,14.3,2.0,Ab major:ii65,Db:min7/b3
chord,15.1,4.0,Ab major:vi6,Ab:min/b3
chord,16.1,4.0,Ab major:viio6,Bb:dim/b3
chord,17.1,3.0,Ab major:I6,C:maj/3
chord,17.4,1.0,Db major:V65,C:7/3
chord,18.1,4.0,Db major:ii65,Gb:min7/b3
chord,19.1,3.0,Db major:I64,Ab:maj/5
chord,19.4,1.0,Db major:V7,Ab:7
chord,20.1,4.0,Db major:I,Db:maj
key,1.1,31.0,Ab major,Ab:major
key,8.4,11.0,Bb minor,Bb:minor
key,11.3,25.0,Ab major,Ab:major
key,17.4,13.0,Db major,Db:major
