type,time,duration,original,converted
chord,0.26666666666666666,0.5,Bb major:V,F:maj
chord,1.1,3.0,Bb major:I,Bb:maj
chord,2.1,3.0,Bb major:V7,F:7
chord,3.1,1.5,Bb major:I,Bb:maj
chord,3.2,1.5,Bb major:V7,F:7
chord,4.1,3.0,Bb major:I,Bb:maj
chord,5.1,3.0,Bb major:I,Bb:maj
chord,6.1,3.0,Bb major:V7,F:7
chord,7.1,1.5,Bb major:I,Bb:maj
chord,7.2,1.5,Bb major:V7,F:7
chord,8.1,3.0,Bb major:I,Bb:maj
chord,8.1,3.0,Bb major:I,Bb:maj
key,0.26666666666666666,27.5,Bb major,Bb:major
