type,time,duration,original,converted
chord,1.1,1.5,Eb major:I[add6],Eb:maj6
chord,2.1,1.5,Eb major:V43,F:7/5
chord,3.1,1.5,Eb major:I[add6],Eb:maj6
chord,4.1,1.5,Eb major:V43,F:7/5
chord,5.1,1.5,Eb major:I[add6],Eb:maj6
chord,6.1,1.5,Eb major:V43,F:7/5
chord,7.1,1.5,Eb major:I[add6],Eb:maj6
chord,8.1,1.5,Eb major:V43,F:7/5
chord,9.1,1.5,Eb major:I6,G:maj/3
chord,10.1,1.0,Eb major:V43,F:7/5
chord,10.3,0.5,Eb major:I6,G:maj/3
chord,11.1,1.5,Eb major:V42,Ab:7/b7
chord,12.1,1.5,Eb major:V7,Bb:7
chord,13.1,1.5,Eb major:I,Eb:maj
chord,14.1,1.5,Eb major:V43[add4][add9],F:9(4)/5
chord,15.1,1.5,Eb major:I,Eb:maj
chord,16.1,1.5,G minor:viio7,F#:hdim7
chord,17.1,1.5,G minor:i,G:min
chord,18.1,0.5,G minor:i,G:min
chord,18.2,1.0,G minor:V9,D:7(b9)
chord,19.1,1.5,G minor:V9,D:7(b9)
chord,20.1,1.5,G minor:V9,D:7(b9)
chord,21.1,1.5,G minor:i,G:min
chord,22.1,1.5,G minor:i,G:min
chord,23.1,0.5,G minor:i,G:min
chord,23.2,1.0,G minor:bII,Ab:maj
chord,24.1,1.5,G minor:bII,Ab:maj
chord,25.1,0.5,G minor:bII,Ab:maj
chord,25.2,1.0,G minor:V9,D:7(b9)
chord,26.1,1.0,G minor:i,G:min
chord,26.3,0.5,G minor:It6/iv,Ab:dim/b3
chord,27.1,1.0,G minor:i,G:min
chord,27.3,0.5,G minor:It6/iv,Ab:dim/b3
chord,28.1,1.0,G minor:i,G:min
chord,28.3,0.5,G minor:It6/iv,Ab:dim/b3
chord,29.1,1.0,G minor:i,G:min
chord,29.3,0.5,Eb major:V43,F:7/5
chord,30.1,1.5,Eb major:I[add6],Eb:maj6
chord,31.1,1.5,Eb major:V43,F:7/5
chord,32.1,1.5,Eb major:I[add6],Eb:maj6
chord,33.1,1.5,Eb major:V43,F:7/5
chord,34.1,1.5,Eb major:I6,G:maj/3
chord,35.1,1.0,Eb major:V43,F:7/5
chord,35.3,0.5,Eb major:I6,G:maj/3
chord,36.1,1.5,Eb major:V42,Ab:7/b7
chord,37.1,1.5,Eb major:V7,Bb:7
chord,38.1,1.5,Eb major:I,Eb:maj
chord,39.1,1.5,Eb major:V43[add4][add9],F:9(4)/5
chord,40.1,1.5,Eb major:I,Eb:maj
chord,41.1,1.5,Eb major:viio65/iii,A:hdim7/b3
chord,42.1,1.5,G major:I,G:maj
chord,43.1,0.5,G major:I,G:maj
chord,43.2,1.0,G major:viio7,F#:hdim7
chord,44.1,1.5,G major:viio7,F#:hdim7
chord,45.1,1.5,G major:viio7,F#:hdim7
chord,46.1,1.5,G major:I,G:maj
chord,47.1,1.5,G major:I,G:maj
chord,48.1,0.5,G major:I,G:maj
chord,48.2,1.0,G major:bII,Ab:maj
chord,49.1,1.5,G major:bII,Ab:maj
chord,50.1,0.5,G major:bII,Ab:maj
chord,50.2,1.0,G major:viio7,F#:hdim7
chord,51.1,1.0,G major:i,G:min
chord,51.3,0.5,G major:It6/iv,Ab:dim/b3
chord,52.1,1.0,G major:i,G:min
chord,52.3,0.5,G major:It6/iv,Ab:dim/b3
chord,53.1,1.0,G major:i,G:min
chord,53.3,0.5,G major:It6/iv,Ab:dim/b3
chord,54.1,1.0,G minor:i,G:min
chord,54.3,0.5,Eb major:V43,F:7/5
chord,55.1,1.5,Eb major:I[add6],Eb:maj6
chord,56.1,1.5,Eb major:V43,F:7/5
chord,57.1,1.5,Eb major:I[add6],Eb:maj6
chord,58.1,1.5,Eb major:V43,F:7/5
chord,59.1,1.5,Eb major:I6,G:maj/3
chord,60.1,1.0,Eb major:V43,F:7/5
chord,60.3,0.5,Eb major:I6,G:maj/3
chord,61.1,1.5,Eb major:V42,Ab:7/b7
chord,62.1,1.5,Eb major:V7,Bb:7
chord,63.1,1.5,Eb major:I,Eb:maj
chord,64.1,1.5,Eb major:I[add6],Eb:maj6
chord,65.1,1.5,Eb major:I,Eb:maj
chord,66.1,1.5,Eb major:I[add6],Eb:maj6
chord,67.1,1.5,Eb major:I,Eb:maj
key,1.1,22.5,Eb major,Eb:major
key,16.1,20.5,G minor,G:minor
key,29.3,18.5,Eb major,Eb:major
key,42.1,18.0,G major,G:major
key,54.1,1.0,G minor,G:minor
key,54.3,20.0,Eb major,Eb:major
