type,time,duration,original,converted
chord,0.25,1.0,Ab major:I,Ab:maj
chord,1.1,2.0,Ab major:I,Ab:maj
chord,1.2,2.0,Ab major:ii6,Db:min/b3
chord,2.1,1.0,Ab major:I64,Eb:maj/5
chord,2.15,1.0,Ab major:viio7/vi,E:hdim7
chord,2.2,2.0,Ab major:vi,F:min
chord,3.1,2.0,Ab major:IV,Db:maj
chord,3.2,2.0,Bb minor:viio7,A:hdim7
chord,4.1,1.0,Bb minor:i,Bb:min
chord,4.15,1.0,Bb minor:V,F:maj
chord,4.2,1.0,Bb minor:bVI,Gbb:maj
chord,4.25,1.0,Bb minor:bVI+,Gbb:aug
chord,5.1,1.0,Ab major:V6,G:maj/3
chord,5.15,1.0,Ab major:V+6,G:aug/3
chord,5.2,1.0,Ab major:I,Ab:maj
chord,5.25,1.0,Ab major:viio/ii,A:dim
chord,6.1,2.0,Ab major:V43,Bb:7/5
chord,6.2,2.0,Ab major:I,Ab:maj
chord,7.1,1.0,Ab major:V,Eb:maj
chord,7.15,1.0,Ab major:v,Eb:min
chord,7.2,1.0,Ab major:ii6,Db:min/b3
chord,7.25,1.0,Ab major:V43/ii,C:7/5
chord,8.1,2.0,Ab major:ii,Bb:min
chord,8.2,2.0,Ab major:V7/IV,Ab:7
chord,9.1,2.0,Ab major:IV,Db:maj
chord,9.2,1.0,Ab major:I6,C:maj/3
chord,9.25,1.0,Ab major:I+6,C:aug/3
chord,10.1,1.0,Ab major:IV,Db:maj
chord,10.15,1.0,Ab major:I6,C:maj/3
chord,10.2,1.0,Ab major:V43,Bb:7/5
chord,10.25,1.0,Ab major:I,Ab:maj
chord,11.1,1.0,Ab major:ii6,Db:min/b3
chord,11.15,1.0,Ab major:It6/vi,Db:dim/b3
chord,11.2,2.0,Ab major:viiø7/V,D:hdim7
chord,12.1,3.0,Ab major:V,Eb:maj
chord,12.25,1.0,Ab major:I,Ab:maj
chord,13.1,2.0,Ab major:I,Ab:maj
chord,13.2,2.0,Ab major:viio43/ii,Eb:hdim7/b5
chord,14.1,3.0,Ab major:ii6,Db:min/b3
chord,14.25,1.0,Ab major:viio6/ii,C:dim/b3
chord,15.1,2.0,Ab major:ii,Bb:min
chord,15.2,2.0,Ab major:V7,Eb:7
chord,16.1,1.0,Ab major:I,Ab:maj
chord,16.15,1.0,Ab major:IV,Db:maj
chord,16.2,1.0,Ab major:I,Ab:maj
chord,16.25,1.0,Ab major:V7,Eb:7
chord,17.1,2.0,Ab major:I,Ab:maj
chord,17.2,1.0,Ab major:V7[no3],"Eb:(*3,5,b7)"
chord,17.25,1.0,F minor:viio7,E:hdim7
chord,18.1,1.0,F minor:i,F:min
chord,18.15,1.0,F minor:V7,C:7
chord,18.2,2.0,F minor:VI,Db:maj
chord,19.1,2.0,F minor:VI,Db:maj
chord,19.2,2.0,Bb minor:viio7,A:hdim7
chord,20.1,1.0,Bb minor:i,Bb:min
chord,20.15,1.0,Bb minor:V,F:maj
chord,20.2,1.0,Bb minor:bVI,Gbb:maj
chord,20.25,1.0,Bb minor:bVI+,Gbb:aug
chord,21.1,1.0,Ab major:V6,G:maj/3
chord,21.15,1.0,Ab major:V+6,G:aug/3
chord,21.2,1.0,Ab major:I,Ab:maj
chord,21.25,1.0,Ab major:viio/ii,A:dim
chord,22.1,2.0,Ab major:V43,Bb:7/5
chord,22.2,2.0,Ab major:I,Ab:maj
chord,23.1,1.0,Ab major:V,Eb:maj
chord,23.15,1.0,Ab major:v,Eb:min
chord,23.2,1.0,Ab major:ii6,Db:min/b3
chord,23.25,1.0,Ab major:V43/ii,C:7/5
chord,24.1,2.0,Ab major:ii,Bb:min
chord,24.2,2.0,Ab major:V7/IV,Ab:7
chord,25.1,2.0,Ab major:IV,Db:maj
chord,25.2,1.0,Ab major:I6,C:maj/3
chord,25.25,1.0,Ab major:I+6,C:aug/3
chord,26.1,1.0,Ab major:IV,Db:maj
chord,26.15,1.0,Ab major:I6,C:maj/3
chord,26.2,1.0,Ab major:V43,Bb:7/5
chord,26.25,1.0,Ab major:I,Ab:maj
chord,27.1,1.0,Ab major:ii6,Db:min/b3
chord,27.15,1.0,Ab major:It6/vi,Db:dim/b3
chord,27.2,2.0,Ab major:viiø7/V,D:hdim7
chord,28.1,3.0,Ab major:V,Eb:maj
chord,28.25,1.0,Ab major:I,Ab:maj
chord,29.1,2.0,Ab major:I,Ab:maj
chord,29.2,2.0,Ab major:viio43/ii,Eb:hdim7/b5
chord,30.1,3.0,Ab major:ii6,Db:min/b3
chord,30.25,1.0,Ab major:viio6/ii,C:dim/b3
chord,31.1,2.0,Ab major:ii,Bb:min
chord,31.2,2.0,Ab major:V7,Eb:7
chord,32.1,2.0,Ab major:I,Ab:maj
chord,32.2,1.0,Ab major:viio,G:dim
chord,32.25,1.0,Ab major:V7/IV,Ab:7
chord,33.1,2.0,Ab major:IV64,Ab:maj/5
chord,33.2,2.0,Ab major:V65,G:7/3
chord,34.1,4.0,Ab major:I,Ab:maj
key,0.25,11.0,Ab major,Ab:major
key,3.2,6.0,Bb minor,Bb:minor
key,5.1,51.0,Ab major,Ab:major
key,17.25,7.0,F minor,F:minor
key,19.2,6.0,Bb minor,Bb:minor
key,21.1,56.0,Ab major,Ab:major
