type,time,duration,original,converted
chord,1.1,3.0,F# major:iio6,B:dim/b3
chord,2.1,3.0,F# major:iio6,B:dim/b3
chord,3.1,1.0,F# major:iio6,B:dim/b3
chord,3.2,2.0,F# major:ii6,B:min/b3
chord,4.1,3.0,F# major:ii6,B:min/b3
chord,5.1,1.0,F# major:ii6,B:min/b3
chord,5.2,2.0,F# major:V7,C#:7
chord,6.1,3.0,F# major:I,F#:maj
chord,7.1,1.5,F# major:i,F#:min
chord,7.25,1.5,F# major:I,F#:maj
chord,8.1,3.0,F# major:Ger43,F#:hdim7/b5
chord,9.1,3.0,F# major:I,F#:maj
chord,10.1,3.0,B major:V7,F#:7
chord,11.1,3.0,B major:viio6/bi,C:dim/b3
chord,12.1,3.0,B major:IV,E:maj
chord,13.1,3.0,B major:viio/bIV,D:dim
chord,14.1,2.0,B major:I6,D#:maj/3
chord,14.3,0.5,B major:viio/v,E#:dim
chord,14.35,0.5,B major:V,F#:maj
chord,15.1,3.0,B major:iv6,G:min/b3
chord,16.1,3.0,B major:V7/V,C#:7
chord,17.1,3.0,B major:V7,F#:7
chord,18.1,3.0,B major:V65/IV,D#:7/3
chord,19.1,1.5,B major:V65/IV,D#:7/3
chord,19.25,1.5,B major:IV6,G#:maj/3
chord,20.1,1.5,B major:II43,G#:7/5
chord,20.25,1.0,B major:V6,A#:maj/3
chord,20.35,0.5,B major:V64/vi,A#:maj/5
chord,21.1,0.5,B major:V64/vi,A#:maj/5
chord,21.15,1.0,B major:IV64,B:maj/5
chord,21.25,1.5,B major:V9/iv,B:7(b9)
chord,22.1,2.0,B major:V43,C#:7/5
chord,22.3,1.0,B major:viio42,G:hdim7/b7
chord,23.1,0.5,B major:viio7,A#:hdim7
chord,23.15,1.0,B major:V6,A#:maj/3
chord,23.25,1.0,B major:V,F#:maj
chord,23.35,0.5,B major:iv,E:min
chord,24.1,1.5,B major:iv,E:min
chord,24.25,1.5,B major:V65,A#:7/3
chord,25.1,0.5,B major:V65,A#:7/3
chord,25.15,2.0,B major:i64,F#:min/5
chord,25.35,0.5,B major:viio6/V,G#:dim/b3
chord,26.1,2.5,B major:V,F#:maj
chord,26.35,0.5,B major:V7,F#:7
chord,27.1,1.0,B major:I,B:maj
chord,27.2,2.0,Bb major:V,F:maj
chord,28.1,1.0,Bb major:I,Bb:maj
chord,28.2,1.0,Bb major:i,Bb:min
chord,28.3,0.5,F# major:II,G#:maj
chord,28.35,0.5,F# major:iv,B:min
chord,29.1,1.5,F# major:I64,C#:maj/5
chord,29.25,1.0,F# major:iio,G#:dim
chord,29.35,0.5,F# major:V7,C#:7
chord,30.1,3.0,F# major:I,F#:maj
chord,31.1,3.0,F# major:iio64,D:dim/b5
chord,32.1,3.0,F# major:iio64,D:dim/b5
chord,33.1,1.0,F# major:iio64,D:dim/b5
