type,time,duration,original,converted
chord,1.1,6.0,Eb major:I,Eb:maj
chord,2.1,6.0,Eb major:V7/IV,Eb:7
chord,3.1,1.5,Eb major:IV,Ab:maj
chord,3.2,1.5,Eb major:V7/IV,Eb:7
chord,3.3,1.5,Eb major:IV,Ab:maj
chord,3.4,1.5,Eb major:viio7,D:hdim7
chord,4.1,6.0,Eb major:I,Eb:maj
chord,5.1,6.0,Eb major:V7/IV,Eb:7
chord,6.1,1.5,Eb major:iv,Ab:min
chord,6.2,1.5,Eb major:I,Eb:maj
chord,6.3,1.5,Eb major:iio6,Ab:dim/b3
chord,6.4,1.5,Eb major:viio7,D:hdim7
chord,7.1,6.0,Eb major:I,Eb:maj
chord,8.1,3.0,Eb major:V,Bb:maj
chord,8.3,3.0,Eb major:i64,Bb:min/5
chord,9.1,3.0,Eb major:viio7/V,A:hdim7
chord,9.3,3.0,Eb major:V,Bb:maj
chord,10.1,3.0,Eb major:V65,D:7/3
chord,10.3,3.0,Eb major:V42,Ab:7/b7
chord,11.1,3.0,Eb major:I6,G:maj/3
chord,11.3,3.0,Eb major:IV,Ab:maj
chord,12.1,6.0,Eb major:V7,Bb:7
chord,13.1,6.0,Eb major:I,Eb:maj
chord,14.1,6.0,Eb major:I,Eb:maj
key,1.1,84.0,Eb major,Eb:major
