type,time,duration,original,converted
chord,1.1,2.0,C minor:i,C:min
chord,2.1,1.0,C minor:I,C:maj
chord,2.2,1.0,C minor:V7/IV,C:7
chord,3.1,2.0,C minor:IV64,C:maj/5
chord,4.1,2.0,C minor:iv64,C:min/5
chord,5.1,1.5,C minor:I,C:maj
chord,5.25,0.5,C minor:i,C:min
chord,6.1,2.0,C minor:V,G:maj
chord,7.1,1.0,C minor:i,C:min
chord,7.2,1.0,C minor:I,C:maj
chord,8.1,2.0,C minor:iv64,C:min/5
chord,9.1,2.0,C minor:V42,F:7/b7
chord,10.1,2.0,C minor:i,C:min
chord,11.1,2.0,C minor:iv64,C:min/5
chord,12.1,2.0,C minor:i,C:min
chord,13.1,1.5,Eb major:I64,Bb:maj/5
chord,13.25,0.5,Eb major:ii65,Ab:min7/b3
chord,14.1,0.5,Eb major:I6,G:maj/3
chord,14.15,0.5,Eb major:ii65,Ab:min7/b3
chord,14.2,0.5,Eb major:I64,Bb:maj/5
chord,14.25,0.5,Eb major:V7,Bb:7
chord,15.1,2.0,Eb major:I,Eb:maj
chord,16.1,2.0,Eb major:vi,C:min
chord,17.1,2.0,Eb major:V42/II,Bb:7/b7
chord,18.1,2.0,Eb major:II6,A:maj/3
chord,19.1,2.0,Eb major:V42,Ab:7/b7
chord,20.1,2.0,Eb major:I6,G:maj/3
chord,21.1,2.0,C minor:viio43,F:hdim7/b5
chord,22.1,2.0,C minor:viio43,F:hdim7/b5
chord,23.1,1.5,C minor:viio43,F:hdim7/b5
chord,23.25,0.5,C minor:Ger65,Ab:hdim7/b3
chord,24.1,1.5,C minor:i64,G:min/5
chord,24.25,0.5,C minor:V7,G:7
chord,25.1,2.0,C minor:VI,Ab:maj
chord,26.1,1.0,C minor:VI,Ab:maj
chord,26.2,1.0,C minor:Ger65,Ab:hdim7/b3
chord,27.1,2.0,C minor:Ger65,Ab:hdim7/b3
chord,28.1,2.0,C minor:Ger65,Ab:hdim7/b3
chord,29.1,2.0,C minor:Ger65,Ab:hdim7/b3
chord,30.1,1.5,C minor:i64,G:min/5
chord,30.25,0.5,C minor:V7,G:7
chord,31.1,2.0,C minor:i,C:min
chord,32.1,1.0,C minor:I,C:maj
chord,32.2,1.0,C minor:V7/IV,C:7
chord,33.1,2.0,C minor:IV64,C:maj/5
chord,34.1,2.0,C minor:iv64,C:min/5
chord,35.1,1.5,C minor:I,C:maj
chord,35.25,0.5,C minor:i,C:min
chord,36.1,2.0,C minor:V,G:maj
chord,37.1,1.0,C minor:i,C:min
chord,37.2,1.0,C minor:I,C:maj
chord,38.1,2.0,C minor:iv64,C:min/5
chord,39.1,2.0,C minor:V42,F:7/b7
chord,40.1,2.0,C minor:i,C:min
chord,41.1,2.0,C minor:iv64,C:min/5
chord,42.1,2.0,C minor:i,C:min
chord,43.1,1.5,Eb major:I64,Bb:maj/5
chord,43.25,0.5,Eb major:ii65,Ab:min7/b3
chord,44.1,0.5,Eb major:I6,G:maj/3
chord,44.15,0.5,Eb major:ii65,Ab:min7/b3
chord,44.2,0.5,Eb major:I64,Bb:maj/5
chord,44.25,0.5,Eb major:V7,Bb:7
chord,45.1,2.0,Eb major:I,Eb:maj
chord,46.1,2.0,Eb major:vi,C:min
chord,47.1,2.0,Eb major:V42/II,Bb:7/b7
chord,48.1,2.0,Eb major:II6,A:maj/3
chord,49.1,2.0,Eb major:V42,Ab:7/b7
chord,50.1,2.0,Eb major:I6,G:maj/3
chord,51.1,2.0,C minor:viio43,F:hdim7/b5
chord,52.1,2.0,C minor:viio43,F:hdim7/b5
chord,53.1,1.5,C minor:viio43,F:hdim7/b5
chord,53.25,0.5,C minor:Ger65,Ab:hdim7/b3
chord,54.1,1.5,C minor:i64,G:min/5
chord,54.25,0.5,C minor:V7,G:7
chord,55.1,2.0,C minor:VI,Ab:maj
chord,56.1,1.0,C minor:VI,Ab:maj
chord,56.2,1.0,C minor:Ger65,Ab:hdim7/b3
chord,57.1,2.0,C minor:Ger65,Ab:hdim7/b3
chord,58.1,2.0,C minor:Ger65,Ab:hdim7/b3
chord,59.1,2.0,C minor:Ger65,Ab:hdim7/b3
chord,60.1,1.5,C minor:i64,G:min/5
chord,60.25,0.5,C minor:V7,G:7
chord,61.1,2.0,C minor:i,C:min
chord,62.1,1.0,C minor:I,C:maj
chord,62.2,1.0,C minor:V7/IV,C:7
chord,63.1,2.0,C minor:IV64,C:maj/5
chord,64.1,2.0,C minor:iv64,C:min/5
chord,65.1,1.5,C minor:I,C:maj
chord,65.25,0.5,C minor:i,C:min
chord,66.1,2.0,C minor:V,G:maj
chord,67.1,2.0,C minor:i,C:min
key,1.1,24.0,C minor,C:minor
key,13.1,16.0,Eb major,Eb:major
key,21.1,44.0,C minor,C:minor
key,43.1,16.0,Eb major,Eb:major
key,51.1,34.0,C minor,C:minor
