type,time,duration,original,converted
chord,1.1,2.0,E major:I,E:maj
chord,1.3,2.0,E major:I6,G#:maj/3
chord,2.1,2.0,E major:I,E:maj
chord,2.3,2.0,E major:I6,G#:maj/3
chord,3.1,3.0,E major:V,B:maj
chord,3.4,1.0,E major:iiø65,A:hdim7/b3
chord,4.1,2.0,E major:V,B:maj
chord,4.3,2.0,E major:V7,B:7
chord,5.1,4.0,E major:I,E:maj
chord,6.1,4.0,E major:I,E:maj
chord,7.1,1.0,E major:Cad64,B:maj/5
chord,7.2,3.0,E major:V7,B:7
chord,8.1,4.0,E major:I,E:maj
key,1.1,32.0,E major,E:major
