type,time,duration,original,converted
chord,1.1,4.0,E major:I,E:maj
chord,2.1,4.0,E major:V7,B:7
chord,3.1,1.0,E major:I,E:maj
chord,3.2,1.0,E major:I42,D#:maj7/7
chord,3.3,2.0,E major:V/V,F#:maj
chord,4.1,4.0,E major:V,B:maj
chord,5.1,1.0,E major:V64,F#:maj/5
chord,5.2,1.0,E major:V,B:maj
chord,5.3,1.0,E major:V65/V,A#:7/3
chord,5.4,1.0,E major:V42,A:7/b7
chord,6.1,1.0,E major:I6,G#:maj/3
chord,6.2,1.0,E major:V43,F#:7/5
chord,6.3,1.0,E major:I,E:maj
chord,6.4,1.0,E major:Ger65,C:hdim7/b3
chord,7.1,2.0,E major:I64,B:maj/5
chord,7.3,2.0,E major:V7,B:7
chord,8.1,4.0,E major:I,E:maj
chord,9.1,2.0,E major:V7,B:7
chord,9.3,2.0,E major:I,E:maj
chord,10.1,2.0,E major:I64,B:maj/5
chord,10.3,2.0,E major:V,B:maj
chord,11.1,4.0,B major:V,F#:maj
chord,12.1,1.0,B major:I,B:maj
chord,12.2,3.0,B major:V43,C#:7/5
chord,13.1,4.0,B major:V7,F#:7
chord,14.1,1.0,B major:I,B:maj
chord,14.2,1.0,B major:V43,C#:7/5
chord,14.3,2.0,B major:I6,D#:maj/3
chord,15.1,3.0,B major:I,B:maj
chord,15.4,1.0,E major:V2,A:7/b7
chord,16.1,1.0,E major:I6,G#:maj/3
chord,16.2,3.0,E major:Ger65,C:hdim7/b3
chord,17.1,2.0,E major:I64,B:maj/5
chord,17.3,2.0,E major:V7,B:7
chord,18.1,4.0,E major:I,E:maj
chord,19.1,1.0,E major:V65,D#:7/3
chord,19.2,1.0,E major:V7,B:7
chord,19.3,1.0,E major:I,E:maj
chord,19.4,1.0,E major:I6,G#:maj/3
chord,20.1,2.0,E major:I64,B:maj/5
chord,20.3,1.0,E major:V,B:maj
chord,20.4,1.0,E major:V42,A:7/b7
chord,21.1,1.0,E major:I6,G#:maj/3
chord,21.2,1.0,E major:I,E:maj
chord,21.3,2.0,E major:V7,B:7
chord,22.1,4.0,E major:I,E:maj
chord,23.1,4.0,E major:I,E:maj
