type,time,duration,original,converted
chord,1.1,2.0,Ab major:I,Ab:maj
chord,1.3,2.0,Ab major:viio65/ii,C:hdim7/b3
chord,2.1,4.0,Ab major:ii6,Db:min/b3
chord,3.1,2.0,Ab major:V,Eb:maj
chord,3.3,1.0,Ab major:V7,Eb:7
chord,3.4,0.5,Ab major:Cad64,Eb:maj/5
chord,3.45,0.5,Ab major:V7,Eb:7
chord,4.1,4.0,Ab major:I,Ab:maj
chord,5.1,3.0,Ab major:I,Ab:maj
chord,5.4,1.0,Ab major:viio7/ii,A:hdim7
chord,6.1,4.0,Ab major:ii6,Db:min/b3
chord,7.1,4.0,Ab major:V7,Eb:7
chord,8.1,4.0,Ab major:I,Ab:maj
chord,9.1,2.0,Ab major:I6,C:maj/3
chord,9.3,2.0,Ab major:ii65,Db:min7/b3
chord,10.1,2.0,F major:V65,E:7/3
chord,10.3,2.0,F major:i,F:min
chord,11.1,2.0,F major:iv,Bb:min
chord,11.3,2.0,F major:V65/V,B:7/3
chord,12.1,2.0,F major:V,C:maj
chord,12.3,2.0,Ab major:V43,Bb:7/5
chord,13.1,2.0,Ab major:I,Ab:maj
chord,13.3,2.0,Ab major:I6,C:maj/3
chord,14.1,4.0,Ab major:ii6,Db:min/b3
chord,15.1,2.0,Ab major:Cad64,Eb:maj/5
chord,15.3,2.0,Ab major:V7,Eb:7
chord,16.1,4.0,Ab major:I,Ab:maj
chord,17.1,2.0,Ab major:V42/IV,Gb:7/b7
chord,17.3,2.0,Ab major:IV6,F:maj/3
chord,18.1,4.0,Ab major:Cad64,Eb:maj/5
chord,19.1,4.0,Ab major:V65/IV,C:7/3
chord,20.1,2.0,Ab major:IV,Db:maj
chord,20.3,2.0,Ab major:iv,Db:min
chord,21.1,4.0,A major:I,A:maj
chord,22.1,4.0,A major:V43,B:7/5
chord,23.1,4.0,A major:V43,B:7/5
chord,24.1,2.0,A major:viio65/ii,C#:hdim7/b3
chord,24.3,2.0,Ab major:viio7/V,D:hdim7
chord,25.1,2.0,Ab major:Cad64,Eb:maj/5
chord,25.3,2.0,Ab major:V42,Db:7/b7
chord,26.1,2.0,Ab major:I6,C:maj/3
chord,26.3,2.0,Ab major:ii6,Db:min/b3
chord,27.1,2.0,Ab major:Cad64,Eb:maj/5
chord,27.3,1.0,Ab major:V7,Eb:7
chord,27.4,1.0,Ab major:V42,Db:7/b7
chord,28.1,2.0,Ab major:I6,C:maj/3
chord,28.3,2.0,Ab major:ii6,Db:min/b3
chord,29.1,2.0,Ab major:Cad64,Eb:maj/5
chord,29.3,2.0,Ab major:V7,Eb:7
chord,30.1,2.0,Ab major:I,Ab:maj
chord,30.3,1.0,Ab major:viio43/V,Ab:hdim7/b5
chord,30.4,1.0,Ab major:V7,Eb:7
chord,31.1,2.0,Ab major:I,Ab:maj
chord,31.3,1.0,Ab major:viio43/V,Ab:hdim7/b5
chord,31.4,1.0,Ab major:V7,Eb:7
chord,32.1,4.0,Ab major:I,Ab:maj
key,1.1,36.0,Ab major,Ab:major
key,10.1,10.0,F major,F:major
key,12.3,34.0,Ab major,Ab:major
key,21.1,14.0,A major,A:major
key,24.3,34.0,Ab major,Ab:major
