key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
B	[0.0, 11.5, 0.0, 11.5, 8.5, 0.0, 19.5, 4.5, 0.0, 0.0, 11.0, 8.5]	0.0	16.0	16.0	1	3	2
F#	[0.0, 7.0, 1.5, 0.0, 0.0, 6.0, 3.5, 0.0, 8.0, 0.0, 4.5, 3.0]	16.0	24.0	8.0	3	4	1
B	[0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 0.0, 3.0, 0.0, 0.0, 4.5, 0.0]	24.0	27.0	3.0	5	5	0
c#	[4.0, 2.0, 0.0, 2.0, 3.0, 0.0, 3.0, 0.0, 4.0, 1.0, 0.0, 0.0]	27.0	31.0	4.0	5	6	1
F#	[0.0, 10.0, 0.0, 0.0, 0.0, 2.0, 4.0, 0.0, 4.0, 2.5, 3.0, 3.5]	31.0	39.0	8.0	6	7	1
A	[0.0, 4.5, 0.5, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 1.0]	39.0	43.0	4.0	7	8	1
E	[0.0, 2.5, 0.0, 2.5, 3.0, 0.0, 1.5, 0.0, 3.0, 4.5, 0.0, 3.0]	43.0	48.0	5.0	8	8	0
B	[0.0, 1.5, 0.0, 4.5, 4.5, 0.0, 3.0, 3.0, 1.0, 1.0, 2.0, 3.5]	48.0	54.0	6.0	9	9	0
F#	[0.0, 2.0, 1.5, 0.0, 0.0, 3.0, 5.5, 0.0, 3.0, 0.0, 3.0, 3.0]	54.0	60.0	6.0	10	10	0
B	[0.0, 12.0, 0.0, 12.0, 8.5, 0.0, 19.5, 4.5, 0.0, 0.0, 11.0, 8.5]	60.0	76.0	16.0	11	13	2
F#	[0.0, 7.0, 1.5, 0.0, 0.0, 6.0, 3.5, 0.0, 8.0, 0.0, 4.5, 3.0]	76.0	84.0	8.0	13	14	1
B	[0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 0.0, 3.0, 0.0, 0.0, 4.5, 0.0]	84.0	87.0	3.0	15	15	0
c#	[4.0, 2.0, 0.0, 2.0, 3.0, 0.0, 3.0, 0.0, 4.0, 1.0, 0.0, 0.0]	87.0	91.0	4.0	15	16	1
F#	[0.0, 10.0, 0.0, 0.0, 0.0, 2.0, 4.0, 0.0, 4.0, 2.5, 3.0, 3.5]	91.0	99.0	8.0	16	17	1
A	[0.0, 4.5, 0.5, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 1.0]	99.0	103.0	4.0	17	18	1
E	[0.0, 2.5, 0.0, 2.5, 3.0, 0.0, 1.5, 0.0, 3.0, 4.5, 0.0, 3.0]	103.0	108.0	5.0	18	18	0
B	[0.0, 1.5, 0.0, 4.5, 4.5, 0.0, 3.0, 3.0, 1.0, 1.0, 2.0, 3.5]	108.0	114.0	6.0	19	19	0
F#	[0.0, 2.0, 1.5, 0.0, 0.0, 3.0, 5.5, 0.0, 3.0, 0.0, 3.0, 3.0]	114.0	120.0	6.0	20	20	0
B	[0.0, 6.5, 0.0, 9.0, 5.0, 0.0, 14.5, 3.5, 0.0, 0.0, 7.0, 33.0]	120.0	135.0	15.0	21	23	2
