key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
B	[0.0, 7.0, 0.0, 11.0, 6.5, 3.5, 21.75, 0.0, 4.0, 8.5, 2.5, 23.5]	0.0	26.5	26.5	1	8	7
a	[0.0, 1.0, 6.5, 0.0, 3.0, 1.0, 0.5, 0.0, 6.0, 0.0, 0.0, 4.0]	26.5	30.5	4.0	8	9	1
B	[0.5, 4.5, 2.5, 5.0, 5.5, 4.0, 17.0, 0.0, 8.0, 1.0, 2.5, 10.5]	30.5	48.5	18.0	9	13	4
D	[0.0, 0.5, 1.5, 0.0, 4.5, 0.0, 3.5, 7.5, 0.0, 5.5, 0.0, 1.5]	48.5	60.0	11.5	14	16	2
b	[0.0, 9.0, 5.0, 0.0, 3.5, 1.0, 17.5, 2.0, 2.0, 2.0, 5.5, 9.0]	60.0	80.5	20.5	16	21	5
Db	[3.0, 5.5, 0.0, 13.0, 0.0, 2.5, 13.0, 0.0, 11.0, 0.0, 2.0, 0.0]	80.5	96.0	15.5	22	25	3
Bb	[11.5, 9.5, 0.0, 8.5, 2.5, 23.0, 13.0, 2.5, 2.0, 7.5, 18.5, 0.0]	96.0	123.5	27.5	25	32	7
Cb	[0.0, 7.5, 0.0, 0.0, 8.0, 0.0, 6.0, 0.0, 0.0, 0.0, 7.5, 0.0]	123.5	128.5	5.0	32	33	1
B	[0.0, 7.0, 0.0, 12.0, 5.5, 3.5, 21.5, 0.0, 4.0, 8.5, 2.5, 23.5]	128.5	154.5	26.0	34	40	6
a	[0.0, 1.0, 6.0, 0.5, 3.0, 1.0, 0.5, 0.0, 6.0, 0.0, 0.0, 4.0]	154.5	158.5	4.0	40	41	1
B	[2.0, 7.0, 2.5, 8.5, 7.5, 4.0, 17.5, 0.0, 12.0, 2.0, 4.5, 12.5]	158.5	179.5	21.0	41	46	5
