key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
g	[9.0, 0.0, 14.87, 8.38, 0.25, 0.25, 5.75, 23.25, 0.5, 9.25, 12.5, 0.0]	0.0	24.5	24.5	0	12	12
f	[7.62, 2.38, 0.0, 0.0, 3.5, 4.38, 0.5, 2.62, 2.88, 0.0, 3.37, 0.0]	24.5	32.0	7.5	13	16	3
g	[1.36, 0.0, 15.0, 0.5, 0.0, 0.0, 1.5, 9.88, 0.0, 3.36, 5.14, 0.0]	32.0	42.0	10.0	16	21	5
G	[2.75, 0.5, 11.75, 0.0, 1.5, 0.0, 2.0, 15.5, 0.0, 3.25, 0.0, 7.25]	42.0	53.5	11.5	21	27	6
e	[6.0, 0.0, 3.0, 4.5, 7.0, 0.0, 7.0, 5.0, 0.0, 3.0, 1.0, 23.0]	53.5	72.5	19.0	27	36	9
g	[6.75, 2.0, 14.37, 8.13, 0.0, 0.0, 6.0, 16.5, 0.5, 7.5, 11.75, 0.0]	72.5	94.5	22.0	37	47	10
f	[7.62, 2.38, 0.0, 0.0, 5.0, 4.63, 1.25, 2.62, 2.88, 0.0, 3.37, 0.0]	94.5	102.0	7.5	48	51	3
g	[1.61, 2.0, 16.0, 0.75, 2.0, 0.0, 1.5, 15.38, 0.0, 4.86, 9.64, 0.0]	102.0	116.5	14.5	51	58	7
Ab	[0.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0]	116.5	118.5	2.0	59	59	0
f	[0.0, 6.0, 0.0, 0.0, 4.0, 4.0, 0.0, 4.0, 0.0, 0.0, 10.0, 0.0]	118.5	124.5	6.0	60	62	2
g	[4.75, 10.0, 13.0, 2.5, 6.0, 2.0, 2.5, 26.5, 4.75, 4.0, 1.5, 2.0]	124.5	144.5	20.0	63	72	9
Ab	[2.0, 2.0, 0.0, 2.0, 2.0, 0.0, 0.0, 4.0, 0.0, 0.0, 3.5, 0.0]	144.5	148.5	4.0	73	74	1
g	[5.75, 1.0, 17.0, 3.5, 1.0, 1.0, 3.5, 23.0, 1.25, 4.0, 12.5, 1.0]	148.5	164.5	16.0	75	83	8
