0.0	0	3.5	0.25	0.5	['E3']	A	V
0.5	1	1	1.0	0.75	['A2', 'E3', 'A3', 'C#4']	A	I
1.25	1	1.75	0.125	0.25	['E2', 'E3', 'G#3', 'B3']	A	V
1.5	1	2	0.5	1.5	['E2', 'E3', 'G#3', 'B3']		
3.0	1	3.5	0.25	0.5	['A2', 'G3', 'A3', 'C#4']	A	V7/IV
3.5	2	1	1.0	0.75	['D2', 'F#3', 'A3', 'D4']	A	IV
4.25	2	1.75	0.125	0.25	['A2', 'E3', 'A3', 'C#4']	A	I
4.5	2	2	0.5	1.5	['A2', 'E3', 'A3', 'C#4']		
6.0	2	3.5	0.25	0.5	['A2', 'E3', 'A3', 'C#4']		
6.5	3	1	1.0	0.75	['E2', 'D3', 'E3', 'G#3', 'C#4']	A	V7
7.25	3	1.75	0.125	0.25	['E2', 'D3', 'E3', 'G#3', 'B3']		
7.5	3	2	0.5	1.5	['A2', 'C#3', 'E3', 'A3']	A	I
9.0	3	3.5	0.25	0.25	['A2', 'E3', 'A3', 'B3']		
9.25	3	3.75	0.125	0.25	['A2', 'E3', 'A3', 'C#4']		
9.5	4	1	1.0	0.75	['E2', 'D3', 'E3', 'G#3', 'C#4']	A	V7
10.25	4	1.75	0.125	0.25	['E2', 'D3', 'E3', 'G#3', 'B3']		
10.5	4	2	0.5	1.0	['A2', 'C#3', 'E3', 'A3']	A	I
11.5	4	3	0.5	0.5	['A2', 'C#3', 'E3', 'A3']		
12.0	4	3.5	0.25	0.5	['A2', 'E3', 'A3', 'C#4', 'C#5']		
12.5	5	1	1.0	0.75	['A2', 'E3', 'A3', 'C#4', 'C#5']	A	I
13.25	5	1.75	0.125	0.25	['E2', 'E3', 'G#3', 'B3', 'B4']	A	V
13.5	5	2	0.5	1.0	['E2', 'E3', 'G#3', 'B3', 'B4']		
14.5	5	3	0.5	0.5	['E2', 'E3', 'G#3', 'B3', 'B4']		
15.0	5	3.5	0.25	0.5	['A2', 'G3', 'A3', 'C#4', 'C#5']	A	V7/IV
15.5	6	1	1.0	0.75	['D2', 'F#3', 'A3', 'D4', 'D5']	A	IV
16.25	6	1.75	0.125	0.25	['A2', 'E3', 'A3', 'C#4', 'C#5']	A	I
16.5	6	2	0.5	1.5	['A2', 'E3', 'A3', 'C#4', 'C#5']		
18.0	6	3.5	0.25	0.5	['A2', 'E3', 'A3', 'C#4', 'C#5']		
18.5	7	1	1.0	0.75	['E2', 'D3', 'E3', 'G#3', 'C#4', 'C#5']	A	V7
19.25	7	1.75	0.125	0.25	['E2', 'D3', 'E3', 'G#3', 'B3', 'B4']		
19.5	7	2	0.5	1.0	['A2', 'C#3', 'E3', 'A3', 'A4']	A	I
20.5	7	3	0.5	0.33	['A2', 'C#3', 'E3', 'A3', 'A4']		
20.83	7	3.33	0.0625	0.17	['A2', 'C#3', 'E3', 'A3', 'B4']		
21.0	7	3.5	0.25	0.17	['A2', 'E3', 'A3', 'C#4', 'B4']		
21.17	7	3.67	0.0625	0.33	['A2', 'E3', 'A3', 'C#4', 'C#5']		
21.5	8	1	1.0	0.75	['E2', 'D3', 'E3', 'G#3', 'C#4', 'C#5']	A	V7
22.25	8	1.75	0.125	0.25	['E2', 'D3', 'E3', 'G#3', 'B3', 'B4']		
22.5	8	2	0.5	1.0	['A2', 'C#3', 'E3', 'A3', 'A4']	A	I
23.5	8	3	0.5	0.5	['A2', 'C#3', 'E3', 'A3']		
24.0	8	3.5	0.25	0.5	['A2', 'E3', 'C#4', 'E4']		
24.5	9	1	1.0	0.75	['E2', 'E3', 'G#3', 'C#4', 'E4']	A	V7
25.25	9	1.75	0.125	0.25	['E2', 'E3', 'G#3', 'B3', 'D4']		
25.5	9	2	0.5	1.0	['A2', 'E3', 'A3', 'C#4']	A	I
26.5	9	3	0.5	0.5	['A2', 'E3', 'A3', 'C#4']		
27.0	9	3.5	0.25	0.5	['F#2', 'F#3', 'A3', 'C#4', 'C#5']	A	vi
27.5	10	1	1.0	0.75	['F#2', 'F#3', 'A3', 'C#4', 'C#5']	A	vi
28.25	10	1.75	0.125	0.25	['D2', 'D3', 'F#3', 'B3', 'B4']	A	ii6
28.5	10	2	0.5	1.5	['D2', 'D3', 'F#3', 'B3', 'B4']		
30.0	10	3.5	0.25	0.5	['C#2', 'C#3', 'F#3', 'A#3', 'C#4', 'C#5']	A	V64/ii
30.5	11	1	1.0	0.75	['B1', 'B2', 'F#3', 'B3', 'D4', 'D5']	A	ii
31.25	11	1.75	0.125	0.25	['F#2', 'F#3', 'A3', 'C#4', 'C#5']	A	vi
31.5	11	2	0.5	1.5	['F#2', 'F#3', 'A3', 'C#4', 'C#5']		
33.0	11	3.5	0.25	0.5	['F#2', 'C#3', 'A3', 'C#4', 'C#5']		
33.5	12	1	1.0	0.75	['E#2', 'C#3', 'G#3', 'C#4', 'C#5']	A	V65/vi
34.25	12	1.75	0.125	0.25	['E#2', 'C#3', 'G#3', 'B3', 'B4']		
34.5	12	2	0.5	1.0	['F#2', 'C#3', 'F#3', 'A3', 'A4']	A	vi
35.5	12	3	0.5	0.33	['F#2', 'C#3', 'F#3', 'A3', 'A4']		
35.83	12	3.33	0.0625	0.17	['F#2', 'C#3', 'F#3', 'A3', 'B4']		
36.0	12	3.5	0.25	0.17	['F#2', 'C#3', 'A3', 'C#4', 'B4']		
36.17	12	3.67	0.0625	0.33	['F#2', 'C#3', 'A3', 'C#4', 'C#5']		
36.5	13	1	1.0	0.75	['E2', 'D3', 'E3', 'G#3', 'C#4', 'C#5']	A	V7
