key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
g minor	[0.031, 0.071, 0.283, 0.039, 0.0, 0.0, 0.008, 0.205, 0.0, 0.087, 0.276, 0.0]	0.0	20.0	20.0	1	6	5
c minor	[0.242, 0.0, 0.061, 0.364, 0.0, 0.0, 0.061, 0.03, 0.212, 0.0, 0.0, 0.03]	20.0	28.0	8.0	6	8	2
E- major	[0.088, 0.006, 0.147, 0.071, 0.053, 0.176, 0.0, 0.065, 0.206, 0.0, 0.176, 0.012]	28.0	48.0	20.0	8	13	5
C major	[0.126, 0.112, 0.068, 0.0, 0.102, 0.218, 0.0, 0.131, 0.073, 0.136, 0.005, 0.029]	48.0	76.0	28.0	13	20	7
c minor	[0.357, 0.0, 0.027, 0.134, 0.071, 0.098, 0.0, 0.089, 0.17, 0.0, 0.0, 0.054]	76.0	92.0	16.0	20	24	4
D- major	[0.192, 0.077, 0.0, 0.0, 0.212, 0.058, 0.0, 0.038, 0.308, 0.0, 0.115, 0.0]	92.0	100.0	8.0	24	26	2
a minor	[0.0, 0.138, 0.181, 0.0, 0.0, 0.043, 0.128, 0.0, 0.064, 0.277, 0.0, 0.17]	100.0	110.0	10.0	26	28	2
F major	[0.14, 0.093, 0.181, 0.0, 0.028, 0.149, 0.0, 0.026, 0.233, 0.047, 0.009, 0.093]	110.0	123.0	13.0	28	31	3
C major	[0.122, 0.009, 0.149, 0.041, 0.117, 0.068, 0.117, 0.164, 0.018, 0.077, 0.0, 0.119]	123.0	146.0	23.0	31	37	6
E- major	[0.027, 0.137, 0.137, 0.0, 0.0, 0.192, 0.0, 0.041, 0.164, 0.041, 0.137, 0.123]	146.0	162.0	16.0	37	41	4
D major	[0.0, 0.093, 0.256, 0.028, 0.037, 0.0, 0.065, 0.233, 0.0, 0.084, 0.116, 0.088]	162.0	194.0	32.0	41	49	8
g minor	[0.0, 0.066, 0.164, 0.164, 0.0, 0.0, 0.033, 0.18, 0.0, 0.066, 0.328, 0.0]	194.0	202.0	8.0	49	51	2
B- major	[0.143, 0.0, 0.214, 0.186, 0.0, 0.086, 0.0, 0.157, 0.0, 0.129, 0.057, 0.029]	202.0	210.0	8.0	51	53	2
b- minor	[0.188, 0.0, 0.062, 0.25, 0.0, 0.0, 0.188, 0.125, 0.125, 0.062, 0.0, 0.0]	210.0	214.0	4.0	53	54	1
G- major	[0.041, 0.327, 0.0, 0.041, 0.0, 0.184, 0.061, 0.0, 0.0, 0.184, 0.163, 0.0]	214.0	222.0	8.0	54	56	2
C- major	[0.0, 0.0, 0.074, 0.044, 0.044, 0.029, 0.235, 0.103, 0.088, 0.029, 0.206, 0.147]	222.0	234.0	12.0	56	59	3
C major	[0.15, 0.034, 0.104, 0.095, 0.11, 0.091, 0.044, 0.14, 0.07, 0.066, 0.008, 0.089]	234.0	296.0	62.0	59	74	15
