0.0	1	1	1.0	1.0	['A-1', 'E-2']
1.0	1	2	0.5	1.0	['A-1', 'E-2', 'E-3', 'A-3', 'C4', 'A-4', 'C5', 'E-5']
2.0	1	3	0.5	1.0	['E-3', 'G3', 'D-4', 'B-4', 'D-5', 'F5']
3.0	2	1	1.0	1.0	['A-1', 'E-2']
4.0	2	2	0.5	1.0	['A-1', 'E-2', 'E-3', 'A-3', 'C4', 'A-4', 'C5', 'E-5']
5.0	2	3	0.5	1.0	['E-3', 'G3', 'D-4', 'B-4', 'D-5', 'F5']
6.0	3	1	1.0	0.5	['A-1', 'E-2', 'A-4']
6.5	3	1.5	0.25	0.5	['A-1', 'E-2', 'B-4']
7.0	3	2	0.5	0.5	['A-1', 'E-2', 'E-3', 'A-3', 'C4', 'A-4', 'C5', 'E-5']
7.5	3	2.5	0.25	0.5	['A-1', 'E-2', 'E-3', 'A-3', 'C4', 'A-4', 'C5', 'E-5']
8.0	3	3	0.5	0.33	['E-3', 'G3', 'D-4', 'B-4', 'C5', 'D-5', 'F5']
8.33	3	3.33	0.0625	0.33	['E-3', 'G3', 'D-4', 'B-4', 'D-5', 'F5']
8.67	3	3.67	0.0625	0.33	['E-3', 'G3', 'D-4', 'E-4', 'B-4', 'D-5', 'F5']
9.0	4	1	1.0	0.5	['A-1', 'E-2', 'A-4']
9.5	4	1.5	0.25	0.5	['A-1', 'E-2', 'B-4']
10.0	4	2	0.5	0.5	['A-1', 'E-2', 'E-3', 'A-3', 'C4', 'A-4', 'C5', 'E-5']
10.5	4	2.5	0.25	0.5	['A-1', 'E-2', 'E-3', 'A-3', 'C4', 'A-4', 'C5', 'E-5']
11.0	4	3	0.5	0.33	['E-3', 'G3', 'D-4', 'B-4', 'C5', 'D-5', 'F5']
11.33	4	3.33	0.0625	0.33	['E-3', 'G3', 'D-4', 'B-4', 'D-5', 'F5']
11.67	4	3.67	0.0625	0.33	['E-3', 'G3', 'D-4', 'E-4', 'B-4', 'D-5', 'F5']
12.0	5	1	1.0	0.5	['A-1', 'E-2', 'A-4']
12.5	5	1.5	0.25	0.5	['A-1', 'E-2', 'B-4']
13.0	5	2	0.5	0.5	['A-1', 'E-2', 'E-3', 'A-3', 'C4', 'A-4', 'C5', 'E-5']
13.5	5	2.5	0.25	0.5	['A-1', 'E-2', 'E-3', 'A-3', 'C4', 'A-4', 'C5', 'E-5', 'F5']
14.0	5	3	0.5	0.33	['E-3', 'G3', 'D-4', 'B-4', 'D-5', 'E-5', 'F5']
14.33	5	3.33	0.0625	0.33	['E-3', 'G3', 'D-4', 'B-4', 'D-5', 'F5']
14.67	5	3.67	0.0625	0.33	['E-3', 'G3', 'D-4', 'B-4', 'D-5', 'F5']
15.0	6	1	1.0	0.33	['A-1', 'E-2', 'A-4']
15.33	6	1.33	0.0625	0.33	['A-1', 'E-2', 'B-4']
15.67	6	1.67	0.0625	0.33	['A-1', 'E-2', 'C5']
16.0	6	2	0.5	1.0	['A-1', 'E-2', 'E-3', 'A-3', 'C4', 'E-4', 'A-4', 'C5', 'E-5']
17.0	6	3	0.5	1.0	['E-3', 'G3', 'D-4', 'E-4', 'B-4', 'D-5', 'F5']
18.0	7	1	1.0	0.5	['A-1', 'E-2', 'A-4']
18.5	7	1.5	0.25	0.5	['A-1', 'E-2', 'B-4']
19.0	7	2	0.5	0.5	['A-1', 'E-2', 'E-3', 'A-3', 'C4', 'A-4', 'C5', 'E-5']
19.5	7	2.5	0.25	0.5	['A-1', 'E-2', 'E-3', 'A-3', 'C4', 'A-4', 'C5', 'E-5']
20.0	7	3	0.5	0.33	['E-3', 'G3', 'D-4', 'B-4', 'C5', 'D-5', 'F5']
20.33	7	3.33	0.0625	0.33	['E-3', 'G3', 'D-4', 'B-4', 'D-5', 'F5']
20.67	7	3.67	0.0625	0.33	['E-3', 'G3', 'D-4', 'E-4', 'B-4', 'D-5', 'F5']
21.0	8	1	1.0	0.5	['A-1', 'E-2', 'A-4']
21.5	8	1.5	0.25	0.5	['A-1', 'E-2', 'B-4']
22.0	8	2	0.5	0.5	['A-1', 'E-2', 'E-3', 'A-3', 'C4', 'A-4', 'C5', 'E-5']
22.5	8	2.5	0.25	0.5	['A-1', 'E-2', 'E-3', 'A-3', 'C4', 'A-4', 'C5', 'E-5']
23.0	8	3	0.5	0.33	['E-3', 'G3', 'D-4', 'B-4', 'C5', 'D-5', 'F5']
23.33	8	3.33	0.0625	0.33	['E-3', 'G3', 'D-4', 'B-4', 'D-5', 'F5']
23.67	8	3.67	0.0625	0.33	['E-3', 'G3', 'D-4', 'E-4', 'B-4', 'D-5', 'F5']
24.0	9	1	1.0	0.5	['A-1', 'E-2', 'A-4']
24.5	9	1.5	0.25	0.5	['A-1', 'E-2', 'B-4']
25.0	9	2	0.5	0.5	['A-1', 'E-2', 'E-3', 'A-3', 'C4', 'A-4', 'C5', 'E-5']
25.5	9	2.5	0.25	0.5	['A-1', 'E-2', 'E-3', 'A-3', 'C4', 'A-4', 'C5', 'E-5', 'F5']
26.0	9	3	0.5	0.33	['A-1', 'E-2', 'E-3', 'A-3', 'C4', 'A-4', 'C5', 'E-5']
26.33	9	3.33	0.0625	0.17	['A-1', 'E-2', 'E-3', 'A-3', 'C4', 'A-4', 'C5', 'E-5']
26.5	9	3.5	0.25	0.17	['A-4']
26.67	9	3.67	0.0625	0.33	['C5']
27.0	10	1	1.0	0.5	['E-3', 'G3', 'D-4', 'F4', 'B-4', 'D-5', 'F5']
