type,time,duration,original,converted
chord,3.510204081632653,1.5918367346938775,F7,F:7
chord,5.191836734693878,3.329886621315193,Bb7,Bb:7
chord,8.693877551020408,3.113469387755101,Eb7,Eb:7
chord,11.987301587301587,6.530612244897959,Bb7,Bb:7
chord,19.289977324263038,5.9385034013605456,Eb7,Eb:7
chord,25.56517006802721,6.135873015873017,Bb7,Bb:7
chord,32.23510204081633,6.652517006802718,F7,F:7
chord,39.22430839002268,1.5905668934240325,Bb7,Bb:7
chord,40.936780045351476,1.6253968253968267,Eb7,Eb:7
chord,43.340045351473925,0.6385487528344669,Bb7,Bb:7
chord,45.80408163265306,0.0,F7,F:7
chord,45.99183673469388,0.0,Bb7,Bb:7
chord,50.351020408163265,2.2595918367346925,Eb7,Eb:7
chord,53.64390022675737,5.6598639455782305,Bb7,Bb:7
chord,59.50113378684807,6.559637188208612,Eb7,Eb:7
chord,67.62231292517006,5.178049886621324,Bb7,Bb:7
chord,73.49115646258504,6.489977324263037,F7,F:7
chord,80.16689342403627,1.4396371882086214,Bb7,Bb:7
chord,82.140589569161,1.0681179138321966,Eb7,Eb:7
chord,83.34802721088435,1.3091156462585047,Bb7,Bb:7
key,3.510204081632653,81.26122448979592,Bb-maj,Bb:major
