type,time,duration,original,converted
chord,2.8448979591836734,0.20000000000000018,NC,N
chord,3.1724263038548752,2.281360544217687,Eb,Eb:maj
chord,5.613424036281179,1.0739229024943313,D7,D:7
chord,8.594285714285714,1.8314739229024948,Eb,Eb:maj
chord,10.942403628117914,0.5630839002267578,C+7,C:aug(b7)
chord,11.639002267573696,1.056507936507936,C7,C:7
chord,12.82031746031746,2.3771428571428572,F7,F:7
chord,15.508027210884354,1.9824036281179147,Bb7,Bb:7
chord,17.626848072562357,2.3945578231292544,Eb,Eb:maj
chord,20.181043083900228,0.4411791383219956,Bb7,Bb:7
chord,21.405895691609977,0.8823582766439912,Bb+7,Bb:aug(b7)
chord,22.413061224489795,2.316190476190478,Eb,Eb:maj
chord,24.987573696145123,0.9200907029478458,D7,D:7
chord,27.506938775510203,1.9998185941043083,Eb,Eb:maj
chord,29.646077097505668,0.9462131519274379,C+7,C:aug(b7)
chord,30.798367346938775,0.5369614512471657,C7,C:7
chord,32.330884353741496,2.133333333333333,F7,F:7
chord,34.75736961451247,2.110113378684808,Bb7,Bb:7
chord,37.11709750566894,1.0419954648526044,F-7,F:min7
chord,38.32453514739229,0.9665306122448953,Bb7,Bb:7
chord,39.978956916099776,0.6182312925170024,Eb,Eb:maj
chord,40.806167800453515,0.2902494331065739,F-7,F:min7
chord,41.20961451247165,0.5863038548752826,Bb7,Bb:7
key,2.8448979591836734,39.412517006802716,Eb-maj,Eb:major
