type,time,duration,original,converted
chord,7.308480725623583,2.916009070294785,F7,F:7
chord,10.426530612244898,1.3401814058956916,Bb7,Bb:7
chord,14.177233560090704,2.709478458049885,F7,F:7
chord,17.12326530612245,1.2219501133786856,F#-7,F#:min7
chord,18.82702947845805,0.7822222222222202,B7,B:7
chord,21.42448979591837,1.4591836734693864,Bb7,Bb:7
chord,24.281632653061223,2.887755102040817,Bo,B:dim
chord,27.324081632653062,1.5228571428571414,E79#,E:7(#9)
chord,29.09591836734694,0.40612244897959116,A7913b,A:9(1b13)
chord,30.781632653061223,1.6102040816326522,A-7,A:min7
chord,32.487755102040815,1.5734693877551038,Ab-7,Ab:min7
chord,34.183673469387756,3.0117913832199505,G-7,G:min7
chord,37.820408163265306,1.1000000000000014,Db-7,Db:min7
chord,40.179591836734694,0.6367346938775498,F#7,F#:7
chord,40.94489795918367,4.744897959183675,B+7,B:aug(b7)
chord,47.60408163265306,2.706122448979592,F7,F:7
chord,51.14693877551021,3.057142857142857,Bb7,Bb:7
chord,54.47256235827665,1.935963718820858,F7,F:7
chord,57.58403628117914,1.5252607709750592,F#-,F#:min
chord,59.27619047619048,1.4149659863945558,B7,B:7
chord,60.882721088435375,3.2101587301587244,Bb7,Bb:7
chord,64.32072562358276,1.9200000000000017,Bo,B:dim
chord,67.57442176870748,1.361269841269845,E79#,E:7(#9)
chord,69.34639455782313,1.6297505668934207,A7913b,A:9(1b13)
chord,71.08643990929706,1.650068027210878,A-7,A:min7
chord,72.83374149659863,1.5862131519274385,Ab-7,Ab:min7
chord,74.5882993197279,2.047709750566895,G-7,G:min7
chord,78.17578231292516,1.2785487528344675,C#-7,C#:min7
chord,79.5936507936508,0.9752380952380975,F#7,F#:7
chord,81.21034013605443,5.2253741496598565,B+7,B:aug(b7)
chord,88.9,1.6714285714285637,F7,F:7
chord,91.54387755102042,2.964285714285708,Bb7,Bb:7
chord,94.70102040816326,3.1510204081632764,F7,F:7
chord,97.93367346938776,1.6306122448979607,F#-7,F#:min7
chord,99.60612244897959,1.6132653061224573,B7,B:7
chord,101.34795918367347,3.2142857142857224,Bb7,Bb:7
chord,104.64183673469388,2.6510204081632622,Bo,B:dim
chord,108.40510204081633,1.2040816326530575,E79#,E:7(#9)
chord,109.72551020408163,1.525510204081641,A7913b,A:9(1b13)
chord,111.64081632653061,1.2418367346938766,A-7,A:min7
chord,113.28877551020408,1.0785714285714363,Ab-7,Ab:min7
chord,115.29489795918367,1.9438775510204067,G-7,G:min7
chord,118.37551020408164,1.4387755102040813,C#-7,C#:min7
chord,119.90408163265306,1.528571428571425,F#7,F#:7
chord,121.67959183673469,4.453061224489801,B+7,B:aug(b7)
key,7.308480725623583,118.93641723356009,F-maj,F:major
