id,file_artists,file_title,file_path,jams_path
real-book_0,,Just A Gigolo,../../partitions/real-book/raw/Just A Gigolo.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_0.jams
real-book_1,,The Lonely Ones,../../partitions/real-book/raw/The Lonely Ones.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_1.jams
real-book_2,,It's You Or No 1,../../partitions/real-book/raw/It's You Or No 1.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_2.jams
real-book_3,,Zurzday,../../partitions/real-book/raw/Zurzday.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_3.jams
real-book_4,,Lonely Shepheard Blues,../../partitions/real-book/raw/Lonely Shepheard Blues.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_4.jams
real-book_5,Charlie Parker,Now's The Time,../../partitions/real-book/raw/Now's The Time - Charlie Parker.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_5.jams
real-book_6,,FANGO,../../partitions/real-book/raw/FANGO.MGU.xlab,../../partitions/real-book/choco/jams/real-book_6.jams
real-book_7,,Hello Walls,../../partitions/real-book/raw/Hello Walls.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_7.jams
real-book_8,,Kansas City Orchid Room,../../partitions/real-book/raw/Kansas City Orchid Room.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_8.jams
real-book_9,,November Groom,../../partitions/real-book/raw/November Groom.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_9.jams
real-book_10,,Sugar Lips,../../partitions/real-book/raw/Sugar Lips.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_10.jams
real-book_11,,Hello My Baby [Ragtime Gal],../../partitions/real-book/raw/Hello My Baby [Ragtime Gal].MGU.xlab,../../partitions/real-book/choco/jams/real-book_11.jams
real-book_12,,Easy Street,../../partitions/real-book/raw/Easy Street.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_12.jams
real-book_13,,Please Don't Talk About Me When I'm Gone,../../partitions/real-book/raw/Please Don't Talk About Me When I'm Gone.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_13.jams
real-book_14,Charlie Parker,Perhaps,../../partitions/real-book/raw/Perhaps - Charlie Parker.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_14.jams
real-book_15,,Sailing Down The Chesapeake Bay,../../partitions/real-book/raw/Sailing Down The Chesapeake Bay.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_15.jams
real-book_16,,I'll Never Be The Same,../../partitions/real-book/raw/I'll Never Be The Same.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_16.jams
real-book_17,,I'm Glad There Is You,../../partitions/real-book/raw/I'm Glad There Is You.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_17.jams
real-book_18,Jack Elliott & Don Marcotte,I Think Of You,../../partitions/real-book/raw/I Think Of You - Jack Elliott & Don Marcotte.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_18.jams
real-book_19,Bill Davis,Azure Te [Paris Blues],../../partitions/real-book/raw/Azure Te [Paris Blues] - Bill Davis.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_19.jams
real-book_20,,Mandy,../../partitions/real-book/raw/Mandy.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_20.jams
real-book_21,,If I Were A Bell,../../partitions/real-book/raw/If I Were A Bell.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_21.jams
real-book_22,,Happy Motoring,../../partitions/real-book/raw/Happy Motoring.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_22.jams
real-book_23,,Be My Life's Companion,../../partitions/real-book/raw/Be My Life's Companion.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_23.jams
real-book_24,,To Each His Own,../../partitions/real-book/raw/To Each His Own.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_24.jams
real-book_25,,"Hello, Dolly!","../../partitions/real-book/raw/Hello, Dolly!.MGU.xlab",../../partitions/real-book/choco/jams/real-book_25.jams
real-book_26,,Dear Old Stockholm,../../partitions/real-book/raw/Dear Old Stockholm.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_26.jams
real-book_27,,Life Is A Lady,../../partitions/real-book/raw/Life Is A Lady.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_27.jams
real-book_28,,Someone To Watch Over Me,../../partitions/real-book/raw/Someone To Watch Over Me.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_28.jams
real-book_29,,All About Ronnie,../../partitions/real-book/raw/All About Ronnie.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_29.jams
real-book_30,,Kansas City Boogie,../../partitions/real-book/raw/Kansas City Boogie.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_30.jams
real-book_31,,All By Yourself In The Moonlight,../../partitions/real-book/raw/All By Yourself In The Moonlight.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_31.jams
real-book_32,,If I Give My Heart To You,../../partitions/real-book/raw/If I Give My Heart To You.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_32.jams
real-book_33,,Buona Sera,../../partitions/real-book/raw/Buona Sera.MGU.xlab,../../partitions/real-book/choco/jams/real-book_33.jams
real-book_34,,Gloomy Sunday,../../partitions/real-book/raw/Gloomy Sunday.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_34.jams
