0.0	0	2.67	0.25	0.5	['F4']	Bb	V
0.5	1	1	1.0	0.5	['B-2', 'B-3', 'D4', 'F4']	Bb	I
1.0	1	1.33	0.25	0.5	['B-2', 'B-3', 'F4']		
1.5	1	1.67	0.25	0.5	['B-2', 'B-3', 'B-4']		
2.0	1	2	0.5	0.5	['B-2', 'B-3', 'D4', 'B-4']		
2.5	1	2.33	0.25	0.5	['B-2', 'B-3', 'F4', 'A4']		
3.0	1	2.67	0.25	0.5	['B-2', 'B-3', 'B-4']		
3.5	2	1	1.0	0.5	['F3', 'E-4', 'B4']	Bb	V7
4.0	2	1.33	0.25	0.5	['F3', 'F4', 'B4']		
4.5	2	1.67	0.25	0.5	['F3', 'A4', 'C5']		
5.0	2	2	0.5	0.5	['F3', 'E-4', 'C5']		
5.5	2	2.33	0.25	0.5	['F3', 'F4', 'C5']		
6.0	2	2.67	0.25	0.5	['F3', 'F4', 'A4']		
6.5	3	1	1.0	0.5	['B-2', 'B-3', 'D4', 'B-4']	Bb	I
7.0	3	1.33	0.25	0.5	['B-2', 'B-3', 'F4', 'B-4']		
7.5	3	1.67	0.25	0.5	['B-2', 'B-3', 'F4', 'B-4']		
8.0	3	2	0.5	0.5	['F3', 'C4', 'E-4', 'F4']	Bb	V7
8.5	3	2.33	0.25	0.5	['F3', 'C4', 'F4']		
9.0	3	2.67	0.25	0.5	['F3', 'C4', 'E-4', 'A4']		
9.5	4	1	1.0	0.5	['B-2', 'B-3', 'D4']	Bb	I
10.0	4	1.33	0.25	0.5	['B-2', 'B-3', 'D4', 'F4']		
10.5	4	1.67	0.25	0.5	['B-2', 'B-3', 'D4', 'B-4']		
11.0	4	2	0.5	0.5	['B-2', 'B-3', 'D4']		
11.5	4	2.33	0.25	0.5	['B-2', 'B-3', 'F4']		
12.0	4	2.67	0.25	0.5	['B-2', 'B-3', 'F4', 'B-4']		
12.5	5	1	1.0	0.5	['B-2', 'B-3', 'D4', 'F4']	Bb	I
13.0	5	1.33	0.25	0.5	['B-2', 'B-3', 'F4']		
13.5	5	1.67	0.25	0.5	['B-2', 'B-3', 'B-4']		
14.0	5	2	0.5	0.5	['B-2', 'B-3', 'D4', 'B-4']		
14.5	5	2.33	0.25	0.5	['B-2', 'B-3', 'F4', 'A4']		
15.0	5	2.67	0.25	0.5	['B-2', 'B-3', 'B-4']		
15.5	6	1	1.0	0.5	['F3', 'E-4', 'B4']	Bb	V7
16.0	6	1.33	0.25	0.5	['F3', 'F4', 'B4']		
16.5	6	1.67	0.25	0.5	['F3', 'A4', 'B4']		
17.0	6	2	0.5	0.5	['F3', 'E-4', 'C5']		
17.5	6	2.33	0.25	0.5	['F3', 'F4', 'C5']		
18.0	6	2.67	0.25	0.5	['F3', 'F4', 'A4']		
18.5	7	1	1.0	0.5	['B-2', 'B-3', 'D4', 'F4']	Bb	I
19.0	7	1.33	0.25	0.5	['B-2', 'B-3', 'F4']		
19.5	7	1.67	0.25	0.5	['B-2', 'B-3', 'B-4', 'D5']		
20.0	7	2	0.5	0.5	['F2', 'F3', 'E-4', 'C5']	Bb	V7
20.5	7	2.33	0.25	0.25	['F2', 'F3', 'F4', 'C5']		
20.75	7	2.5	0.125	0.25	['F2', 'F3', 'F4', 'E-5']		
21.0	7	2.67	0.25	0.25	['F2', 'F3', 'A4', 'D5']		
21.25	7	2.83	0.125	0.25	['F2', 'F3', 'A4', 'C5']		
21.5	8	1	1.0	0.5	['B-2', 'B-3', 'D4', 'B-4']	Bb	I
22.0	8	1.33	0.25	0.5	['B-2', 'B-3', 'F4', 'B-4']		
22.5	8	1.67	0.25	0.5	['B-2', 'B-3', 'B-4']		
23.0	8	2	0.5	0.5	['B-2', 'B-3', 'D4']		
23.5	8	2.33	0.25	0.5	['B-2', 'B-3', 'F4']		
24.0	8	2.67	0.25	0.5	['B-2', 'B-3', 'F4', 'B-4']		
24.5	9	1	1.0	1.0	['B-1', 'B-2']	Bb	I
