key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
g	[4.25, 1.5, 44.75, 0.75, 0.75, 0.75, 2.0, 33.25, 0.0, 8.25, 8.5, 1.5]	0.0	35.5	35.5	1	12	11
d	[0.0, 1.0, 3.75, 0.0, 2.0, 1.75, 0.0, 0.5, 0.0, 5.0, 0.0, 0.0]	35.5	39.0	3.5	12	13	1
g	[0.5, 0.0, 9.0, 0.0, 0.0, 0.0, 1.25, 2.5, 0.0, 3.75, 2.5, 0.0]	39.0	44.5	5.5	14	15	1
d	[0.0, 3.0, 13.5, 0.0, 8.0, 8.75, 0.0, 2.5, 3.5, 27.75, 0.0, 0.0]	44.5	59.5	15.0	15	20	5
g	[4.25, 0.0, 28.0, 3.0, 0.0, 0.0, 4.25, 31.25, 0.0, 6.75, 14.75, 0.25]	59.5	80.0	20.5	20	27	7
G	[9.25, 0.0, 45.75, 0.0, 2.75, 0.0, 5.25, 21.5, 0.0, 15.0, 0.0, 18.0]	80.0	117.0	36.5	27	39	12
e	[2.5, 0.0, 0.0, 3.75, 4.25, 0.0, 2.25, 0.75, 0.0, 2.75, 0.0, 3.0]	117.0	122.5	5.5	40	41	1
b	[0.0, 0.5, 1.25, 0.0, 0.75, 0.0, 0.0, 1.5, 0.0, 0.0, 0.5, 0.5]	122.5	123.5	1.0	41	42	1
G	[2.25, 0.0, 7.0, 0.0, 1.5, 0.0, 0.75, 5.75, 0.0, 1.0, 0.0, 5.25]	123.5	129.0	5.5	42	43	1
e	[2.5, 0.0, 0.0, 3.75, 4.25, 0.0, 2.25, 0.75, 0.0, 2.75, 0.0, 3.0]	129.0	134.5	5.5	44	45	1
b	[0.0, 0.5, 1.25, 0.0, 0.75, 0.0, 0.0, 1.5, 0.0, 0.0, 0.5, 0.5]	134.5	135.5	1.0	45	46	1
G	[3.25, 0.0, 5.25, 0.0, 1.75, 0.0, 0.75, 10.0, 0.0, 1.5, 0.0, 4.25]	135.5	141.5	6.0	46	48	2
g	[3.0, 0.0, 12.75, 0.5, 0.0, 0.0, 2.0, 5.25, 0.0, 4.0, 4.25, 0.0]	141.5	149.5	8.0	48	50	2
d	[0.0, 1.0, 3.75, 0.0, 2.0, 1.75, 0.0, 0.5, 0.0, 5.0, 0.0, 0.0]	149.5	153.0	3.5	50	51	1
g	[1.75, 0.0, 9.5, 0.0, 0.0, 0.0, 1.25, 1.25, 0.0, 2.5, 2.5, 0.0]	153.0	158.5	5.5	52	53	1
d	[0.0, 1.0, 3.75, 0.0, 2.0, 2.25, 0.0, 0.5, 0.0, 6.0, 0.0, 0.0]	158.5	162.0	3.5	53	54	1
g	[4.0, 1.0, 11.25, 5.0, 0.0, 1.0, 5.5, 6.0, 0.0, 23.25, 0.0, 0.0]	162.0	173.5	11.5	55	58	3
G	[9.5, 0.0, 47.32, 0.0, 5.43, 1.0, 4.75, 60.25, 0.0, 6.0, 0.0, 25.0]	173.5	206.0	32.5	58	69	11
