key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
b	[0.0, 2.03, 4.0, 0.0, 3.02, 0.0, 13.55, 2.11, 0.51, 0.0, 3.52, 16.54]	0.0	15.5	15.53	1	11	10
D	[0.0, 2.12, 4.5, 0.0, 1.38, 0.0, 3.0, 1.0, 0.0, 3.5, 0.0, 0.0]	15.5	18.0	2.5	11	12	1
b	[0.0, 3.49, 13.01, 0.0, 2.95, 0.0, 17.87, 2.1, 0.17, 0.12, 4.84, 21.67]	18.0	33.5	15.39	13	23	10
D	[0.0, 2.12, 4.5, 0.0, 1.38, 0.0, 3.0, 1.0, 0.0, 3.5, 0.0, 0.0]	33.5	36.0	2.5	23	24	1
b	[0.0, 2.36, 7.4, 0.0, 1.36, 0.0, 8.58, 0.0, 0.0, 0.0, 2.0, 9.92]	36.0	42.0	5.92	25	28	3
e	[2.5, 2.24, 0.0, 4.36, 2.24, 0.0, 5.61, 4.24, 0.0, 0.25, 2.0, 13.25]	42.0	47.5	5.5	29	32	3
C	[5.47, 0.0, 1.46, 0.0, 4.15, 1.1, 0.0, 8.51, 0.0, 0.0, 0.0, 1.48]	47.5	51.0	3.47	32	34	2
b	[0.0, 1.12, 3.1, 0.0, 0.5, 0.0, 3.96, 0.0, 0.0, 0.0, 1.0, 3.98]	51.0	53.5	2.48	35	36	1
C	[5.47, 0.0, 1.46, 0.0, 4.15, 0.62, 0.48, 8.51, 0.0, 0.0, 0.0, 1.48]	53.5	57.0	3.47	36	38	2
b	[0.0, 2.1, 3.75, 0.0, 1.99, 0.0, 9.26, 0.62, 0.17, 0.0, 1.64, 9.13]	57.0	63.5	6.49	39	43	4
