key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
c	[10.54, 0.85, 2.72, 6.53, 0.51, 4.59, 0.0, 11.29, 4.76, 0.0, 1.53, 2.89]	0.0	23.0	23.45	1	12	11
Eb	[1.31, 0.0, 3.22, 5.08, 0.0, 1.02, 0.84, 4.42, 2.04, 0.0, 6.44, 0.42]	23.0	34.5	11.7	12	18	6
c	[1.95, 0.0, 0.0, 0.0, 1.53, 1.52, 0.0, 0.51, 0.5, 0.0, 0.0, 0.93]	34.5	37.5	3.05	18	19	1
F	[3.13, 0.51, 0.76, 0.0, 2.53, 2.55, 0.0, 0.51, 0.83, 1.19, 0.17, 0.0]	37.5	43.0	5.59	19	22	3
G	[0.0, 0.25, 2.8, 0.5, 0.0, 0.0, 0.85, 0.16, 0.0, 0.34, 0.0, 0.0]	43.0	45.0	2.03	22	23	1
c	[3.91, 0.0, 2.21, 3.4, 0.17, 2.89, 0.0, 5.61, 2.21, 0.0, 0.51, 1.87]	45.0	55.5	10.71	23	28	5
f	[8.82, 0.51, 0.0, 0.0, 0.83, 0.85, 0.0, 2.02, 2.55, 0.0, 0.51, 0.0]	55.5	60.5	5.08	28	31	3
c	[3.23, 0.0, 2.55, 1.87, 0.0, 1.19, 0.0, 4.25, 0.51, 0.0, 0.0, 1.19]	60.5	64.0	3.57	31	32	1
f	[8.82, 1.7, 0.0, 0.0, 2.7, 0.85, 0.0, 2.53, 2.55, 0.0, 1.19, 0.0]	64.0	70.5	6.61	33	36	3
c	[16.44, 0.85, 2.04, 5.56, 0.17, 2.38, 0.68, 8.31, 2.21, 0.68, 0.51, 2.89]	70.5	84.0	13.76	36	43	7
