key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
e	[7.0, 0.0, 0.0, 2.5, 31.5, 0.0, 20.5, 25.5, 0.0, 11.5, 0.0, 11.5]	0.0	30.0	30.0	1	9	8
a	[4.5, 0.0, 1.0, 0.0, 6.5, 0.0, 0.0, 0.0, 0.5, 10.0, 0.0, 1.5]	30.0	36.5	6.5	9	10	1
e	[17.5, 0.0, 3.0, 2.0, 10.0, 2.0, 5.5, 24.0, 17.5, 22.5, 0.0, 11.0]	36.5	68.5	32.0	11	18	7
G	[20.0, 3.0, 17.25, 1.5, 12.75, 0.0, 9.0, 37.5, 0.0, 20.0, 1.5, 24.0]	68.5	106.5	38.0	19	28	9
d	[0.0, 1.5, 0.5, 1.5, 2.0, 0.0, 0.0, 10.0, 0.0, 0.0, 4.0, 0.5]	106.5	110.5	4.0	28	29	1
c	[7.5, 2.0, 11.0, 0.0, 18.0, 20.0, 2.0, 7.0, 4.0, 10.0, 0.0, 7.5]	110.5	128.5	18.0	29	33	4
a	[26.5, 0.0, 18.0, 0.0, 25.0, 9.5, 0.0, 5.5, 5.5, 28.0, 0.0, 26.5]	128.5	159.5	31.0	34	41	7
e	[18.0, 0.0, 0.5, 7.0, 12.0, 0.0, 23.0, 22.0, 0.0, 8.5, 2.0, 27.5]	159.5	198.5	39.0	41	51	10
C	[6.0, 0.0, 8.0, 0.0, 9.5, 0.5, 0.0, 0.5, 0.0, 3.0, 0.0, 2.5]	198.5	208.5	10.0	51	53	2
e	[7.0, 0.5, 1.0, 3.5, 10.5, 0.0, 5.0, 4.5, 3.5, 10.5, 4.0, 24.0]	208.5	228.5	20.0	54	59	5
