key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
a	[7.75, 0.0, 2.25, 0.0, 13.5, 4.0, 0.0, 0.0, 2.5, 14.0, 0.0, 6.5]	0.0	14.0	14.0	1	7	6
E	[0.0, 0.5, 0.0, 2.25, 11.25, 0.0, 1.75, 0.0, 7.5, 2.0, 0.0, 10.5]	14.0	22.0	8.0	8	11	3
a	[3.5, 0.0, 1.0, 0.5, 3.0, 0.0, 0.0, 0.0, 2.0, 2.75, 0.0, 4.75]	22.0	28.0	6.0	12	14	2
A	[0.0, 11.5, 2.0, 0.0, 24.25, 0.0, 0.5, 0.0, 5.25, 13.5, 0.0, 8.5]	28.0	40.0	12.0	15	20	5
E	[0.0, 1.25, 0.0, 1.75, 14.0, 0.0, 2.0, 0.0, 5.25, 2.25, 0.0, 15.5]	40.0	48.0	8.0	21	24	3
A	[0.0, 11.75, 3.0, 0.0, 27.75, 0.0, 0.5, 0.0, 6.0, 13.75, 0.0, 13.0]	48.0	62.0	14.0	25	31	6
a	[2.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 1.0, 2.5, 0.0, 3.0]	62.0	64.0	2.0	32	32	0
C	[17.0, 0.0, 2.5, 0.0, 8.25, 2.25, 0.0, 15.0, 0.0, 1.0, 0.0, 2.5]	64.0	72.0	8.0	33	36	3
A	[0.0, 12.25, 3.0, 0.0, 24.25, 0.0, 0.0, 0.0, 3.75, 14.25, 0.0, 8.5]	72.0	84.0	12.0	37	42	5
a	[5.25, 0.0, 1.75, 0.0, 8.5, 3.5, 0.0, 0.0, 0.5, 11.75, 0.0, 1.75]	84.0	91.0	7.0	43	46	3
