key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
Eb	[1.0, 0.0, 3.0, 4.0, 2.0, 3.0, 3.0, 7.0, 11.0, 3.0, 20.0, 5.0]	0.0	21.0	21.0	0	5	5
eb	[0.5, 2.0, 5.5, 9.5, 0.0, 11.0, 16.0, 0.0, 7.0, 0.5, 31.0, 4.5]	21.0	45.0	24.0	6	11	5
Gb	[0.0, 20.0, 0.5, 2.0, 0.0, 6.0, 8.0, 0.0, 5.0, 2.0, 11.0, 3.0]	45.0	61.0	16.0	11	14	3
Eb	[13.0, 1.0, 16.0, 5.5, 3.0, 4.0, 6.0, 8.0, 21.0, 7.0, 45.5, 1.0]	61.0	97.0	36.0	15	23	8
eb	[1.0, 3.0, 7.0, 14.0, 0.0, 9.0, 15.0, 0.0, 9.0, 2.0, 27.0, 6.0]	97.0	123.0	26.0	24	29	5
Gb	[2.0, 12.5, 0.0, 1.0, 0.0, 2.0, 4.5, 0.0, 4.0, 2.0, 9.0, 0.0]	123.0	133.0	10.0	30	32	2
gb	[0.0, 6.0, 15.5, 1.0, 1.0, 3.0, 0.0, 3.0, 4.0, 0.0, 4.0, 16.5]	133.0	149.0	16.0	32	35	3
Eb	[15.0, 0.0, 15.0, 33.0, 4.0, 5.0, 8.0, 10.0, 21.0, 2.0, 45.0, 2.0]	149.0	188.0	39.0	36	45	9
eb	[0.0, 0.0, 5.5, 11.5, 1.0, 12.0, 15.5, 3.0, 8.0, 2.5, 26.5, 9.5]	188.0	215.0	27.0	45	52	7
Gb	[2.0, 14.5, 0.5, 5.0, 0.0, 3.0, 6.0, 0.0, 7.5, 2.0, 7.0, 4.5]	215.0	229.0	14.0	52	55	3
gb	[0.5, 6.0, 8.0, 0.0, 1.0, 3.0, 0.0, 3.0, 5.0, 0.0, 4.0, 15.0]	229.0	245.0	16.0	55	58	3
Eb	[20.0, 0.0, 20.0, 33.5, 4.0, 7.0, 8.0, 15.0, 26.0, 6.0, 61.5, 4.0]	245.0	295.0	50.0	59	71	12
