name,songs,ireal_charts
Continuum 1,0,irealb://Continuum%201%3DPastorius%20Jack%3D%3DMedium%20Swing%3DE%3D%3D1r34LbKcu7E%7CQyXyQKclyX7%5EAZL%20lcKQyX%5E7EZL%20x%20ZL%20x%20ZL%20Q%7CA%5E7X7%5EE%5B9E%7CQyKcl%20LQyX7-bBZL%20lcKQXy7%5EEZL%20x%20ZL%20x%20Z%7CA-7XQyX7%5EXyQ%7Cn%20E9LZD%23susXyQ%7CDsusXyQ%7CDsusXyQ%7CDsusXyQ%5B%20%3DJazz-Latin%3D110%3D5
Continuum,0,irealb://Continuum%3DPastorius%20Jaco%3D%3DFunk%3DE%3D%3D1r34LbKcu7X7%5EEZ4E%5E7LQyX7%5EAZLx1NZL%20%20xZL%20x%20ZL%20x%20ZLxZKcl%20L4TA*%7B7bE%7CQQLZN2iF%3C7%5EEZL7%5EE%207o%7CEQyX7-A%7CQyX7-bBne%3EXyyX%7DQylos%20rQ%7CD7sQyXZL%20E/7-A%20E/-7B%7CQyX7%5EE%7CQyXsu%3CAfteyXsusos%2C%20D.C.%20al%20fine%3E%20%3DJazz-Ballad%20Melodic%3D110%3D30
Continuum,0,irealb://Continuum%3DPastorius%20Jaco%3D%3DFunk%3DE%3D%3D1r34LbKcu7QyX7%5E4E%5E7Lx%7CQyXbD/7%5EEZL%20clKQyXbE/7%5EEZLxZLZN1A4TA*%7B%3EeniF%7DXyQXL7%5EE%207oE%7CQyX7-%7CAQyX7-bB2NZL%20QyZE%5E7%3C%20%20lcKfA%3CQyb7sus/7-A%20E/7-B%7CQyX%5E7E%7CQyXsus7D%7CQyXE%20LZXE%7CQyXter%20solos%2C%20D.C.%20al%20fine%3E%20%3DJazz-Ballad%20Melodic%3D110%3D30
