key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
a	[5.04, 0.0, 4.32, 0.0, 3.6, 3.72, 0.0, 0.0, 0.96, 3.96, 2.88, 2.16]	0.0	11.0	10.56	0	6	6
C	[2.16, 0.0, 1.44, 0.0, 0.72, 1.2, 0.0, 1.2, 0.0, 0.84, 0.0, 1.92]	11.0	13.5	2.4	6	7	1
a	[6.48, 0.0, 4.8, 0.0, 6.48, 3.72, 0.0, 0.0, 2.28, 5.64, 2.88, 2.52]	13.5	27.0	12.96	7	14	7
C	[2.16, 0.0, 1.44, 0.0, 0.72, 1.2, 0.0, 1.2, 0.0, 0.84, 0.0, 1.92]	27.0	29.5	2.4	14	15	1
a	[6.12, 0.0, 5.16, 0.0, 6.84, 3.48, 0.0, 0.0, 2.28, 5.64, 2.88, 2.52]	29.5	43.0	12.96	15	22	7
C	[2.16, 0.0, 1.44, 0.0, 0.72, 1.2, 0.0, 1.2, 0.0, 0.84, 0.0, 1.92]	43.0	45.5	2.4	22	23	1
a	[0.24, 0.0, 0.48, 0.0, 1.92, 0.0, 0.0, 0.0, 1.32, 1.2, 0.0, 0.48]	45.5	47.0	1.44	23	24	1
d	[0.0, 2.88, 1.68, 0.0, 3.12, 1.44, 0.0, 2.16, 0.0, 11.52, 0.0, 0.48]	47.0	52.5	5.28	24	26	2
F	[3.24, 0.0, 3.6, 0.0, 2.16, 2.64, 0.0, 3.84, 0.0, 1.44, 2.88, 0.0]	52.5	57.5	4.8	27	29	2
a	[5.06, 0.34, 6.32, 0.0, 9.64, 7.18, 0.0, 0.84, 2.68, 22.93, 0.84, 2.86]	57.5	72.5	15.1	29	37	8
