id,title,performers,release_year,file_path,jams_path
rock-corpus_40,Eight Miles High,The Byrds,1966.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_40.jams
rock-corpus_41,Eleanor Rigby,The Beatles,1966.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_41.jams
rock-corpus_42,Enter Sandman,Metallica,1991.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_42.jams
rock-corpus_43,Every Breath You Take,The Police,1983.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_43.jams
rock-corpus_44,Everyday People,Sly and the Family Stone,1968.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_44.jams
rock-corpus_45,Fake Plastic Trees,Radiohead,1995.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_45.jams
rock-corpus_46,Family Affair,Sly and the Family Stone,1971.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_46.jams
rock-corpus_47,Fast Car,Tracy Chapman,1988.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_47.jams
rock-corpus_48,Folsom Prison Blues,Johnny Cash,1956.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_48.jams
rock-corpus_49,For What It's Worth,Buffalo Springfield,1967.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_49.jams
rock-corpus_50,Fortunate Son,Creedence Clearwater Revival,1969.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_50.jams
rock-corpus_51,Foxey Lady,The Jimi Hendrix Experience,1965.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_51.jams
rock-corpus_52,Free Fallin',Tom Petty,1989.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_52.jams
rock-corpus_53,Georgia On My Mind,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_53.jams
rock-corpus_54,Gimme Shelter,The Rolling Stones,1969.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_54.jams
rock-corpus_55,Go Your Own Way,Fleetwood Mac,1977.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_55.jams
rock-corpus_56,God Only Knows,The Beach Boys,1966.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_56.jams
rock-corpus_57,God Save The Queen,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_57.jams
rock-corpus_58,Good Golly Miss Molly,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_58.jams
rock-corpus_59,Good Vibrations,The Beach Boys,1966.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_59.jams
rock-corpus_60,Great Balls Of Fire,Jerry Lee Lewis,1957.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_60.jams
rock-corpus_61,Hallelujah,Jeff Buckley,1994.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_61.jams
rock-corpus_62,Heartbreak Hotel,Elvis Presley,1956.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_62.jams
rock-corpus_63,Help,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_63.jams
rock-corpus_64,Heroes,David Bowie,1977.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_64.jams
rock-corpus_65,Hey Jude,The Beatles,1968.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_65.jams
rock-corpus_66,Honky Tonk Women,The Rolling Stones,1969.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_66.jams
rock-corpus_67,Hot Stuff,Donna Summer,1979.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_67.jams
rock-corpus_68,Hotel California,The Eagles,1976.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_68.jams
rock-corpus_69,Hound Dog,Elvis Presley,1956.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_69.jams
rock-corpus_70,House Of The Rising Sun,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_70.jams
rock-corpus_71,I Believe I Can Fly,R. Kelly,1996.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_71.jams
rock-corpus_72,I Can't Make You Love Me,Bonnie Raitt,1991.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_72.jams
