key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
Ab	[7.8, 7.5, 1.0, 26.11, 0.0, 5.0, 2.32, 7.16, 10.97, 0.66, 13.64, 1.0]	0.0	20.0	19.95	1	7	6
bb	[1.0, 5.15, 0.0, 0.5, 0.0, 3.16, 0.0, 0.0, 0.0, 0.5, 5.32, 0.0]	20.0	23.5	3.49	7	8	1
Ab	[8.14, 8.81, 1.49, 21.27, 0.0, 5.32, 3.32, 6.32, 14.28, 1.66, 15.29, 1.16]	23.5	44.0	20.43	8	15	7
bb	[1.0, 5.15, 0.0, 0.5, 0.0, 5.82, 0.0, 0.0, 0.0, 0.5, 3.49, 0.0]	44.0	47.5	3.49	15	16	1
Ab	[10.64, 16.13, 1.49, 33.75, 2.66, 4.16, 1.66, 11.97, 17.28, 1.66, 15.46, 1.16]	47.5	75.0	27.42	16	25	9
Gb	[0.0, 6.98, 0.0, 3.65, 0.0, 1.0, 4.32, 0.0, 5.32, 0.0, 5.15, 0.0]	75.0	81.0	5.98	26	27	1
Fb	[0.0, 3.65, 0.0, 1.0, 4.32, 0.0, 5.32, 0.0, 5.15, 0.0, 0.0, 6.98]	81.0	87.0	5.98	28	29	1
Cb	[0.0, 8.65, 0.0, 10.96, 4.0, 0.0, 15.78, 0.0, 1.0, 0.0, 3.16, 7.63]	87.0	98.5	11.46	30	33	3
Ab	[3.65, 10.48, 0.5, 25.79, 0.0, 3.0, 0.0, 6.82, 9.15, 0.0, 7.99, 2.17]	98.5	114.0	15.47	33	38	5
Db	[1.66, 4.16, 0.0, 7.64, 0.0, 0.5, 4.32, 0.0, 5.15, 2.99, 0.0, 0.0]	114.0	120.0	5.98	39	40	1
f	[3.16, 3.65, 0.0, 0.0, 0.5, 5.31, 0.0, 3.99, 1.99, 0.0, 4.32, 0.0]	120.0	125.0	4.98	41	42	1
Ab	[3.15, 13.98, 0.0, 30.45, 0.5, 5.0, 0.0, 6.66, 8.65, 0.0, 9.16, 0.0]	125.0	138.0	12.97	42	47	5
