id,title,composers,subset,collection,movement,duration,file_path,jams_path
when-in-rome_0,When the Swallows Homeward Fly,Maude Valérie White,OpenScore-LiederCorpus,3 Little Songs,1,39,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/White,_Maude_Valérie/3_Little_Songs/1_When_the_Swallows_Homeward_Fly/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_0.jams
when-in-rome_1,A Memory,Maude Valérie White,OpenScore-LiederCorpus,3 Little Songs,2,33,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/White,_Maude_Valérie/3_Little_Songs/2_A_Memory/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_1.jams
when-in-rome_2,"Nun seh’ ich wohl, warum so dunkle Flammen",Gustav Mahler,OpenScore-LiederCorpus,Kindertotenlieder,2,73,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Mahler,_Gustav/Kindertotenlieder/2_Nun_seh’_ich_wohl,_warum_so_dunkle_Flammen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_2.jams
when-in-rome_3,"Oft denk’ ich, sie sind nur ausgegangen",Gustav Mahler,OpenScore-LiederCorpus,Kindertotenlieder,4,72,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Mahler,_Gustav/Kindertotenlieder/4_Oft_denk’_ich,_sie_sind_nur_ausgegangen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_3.jams
when-in-rome_4,Auf einem grünen Hügel,Clara Schumann,OpenScore-LiederCorpus,"6 Lieder, Op.23",4,32,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Clara/6_Lieder,_Op.23/4_Auf_einem_grünen_Hügel/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_4.jams
when-in-rome_5,Sie liebten sich beide,Clara Schumann,OpenScore-LiederCorpus,"6 Lieder, Op.13",2,33,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Clara/6_Lieder,_Op.13/2_Sie_liebten_sich_beide/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_5.jams
when-in-rome_6,Der Mond kommt still gegangen,Clara Schumann,OpenScore-LiederCorpus,"6 Lieder, Op.13",4,32,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Clara/6_Lieder,_Op.13/4_Der_Mond_kommt_still_gegangen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_6.jams
when-in-rome_7,Ich stand in dunklen Träumen,Clara Schumann,OpenScore-LiederCorpus,"6 Lieder, Op.13",1,37,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Clara/6_Lieder,_Op.13/1_Ich_stand_in_dunklen_Träumen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_7.jams
when-in-rome_8,Liebeszauber,Clara Schumann,OpenScore-LiederCorpus,"6 Lieder, Op.13",3,54,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Clara/6_Lieder,_Op.13/3_Liebeszauber/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_8.jams
when-in-rome_9,Die stille Lotosblume,Clara Schumann,OpenScore-LiederCorpus,"6 Lieder, Op.13",6,47,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Clara/6_Lieder,_Op.13/6_Die_stille_Lotosblume/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_9.jams
when-in-rome_10,Die gute Nacht,Clara Schumann,OpenScore-LiederCorpus,,,56,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Clara/_/Die_gute_Nacht/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_10.jams
when-in-rome_11,Liebst du um Schönheit,Clara Schumann,OpenScore-LiederCorpus,"Lieder, Op.12",04,40,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Clara/Lieder,_Op.12/04_Liebst_du_um_Schönheit/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_11.jams
when-in-rome_12,Till I Wake,Harry Thacker Burleigh,OpenScore-LiederCorpus,5 Songs of Laurence Hope,5,83,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/5_Till_I_Wake/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_12.jams
when-in-rome_13,The Jungle Flower,Harry Thacker Burleigh,OpenScore-LiederCorpus,5 Songs of Laurence Hope,2,63,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/2_The_Jungle_Flower/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_13.jams
when-in-rome_14,Liebe und Frühling II,Johannes Brahms,OpenScore-LiederCorpus,"6 Songs, Op.3",3,46,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Brahms,_Johannes/6_Songs,_Op.3/3_Liebe_und_Frühling_II/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_14.jams
