jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
when-in-rome_311.jams,String Quartet in F Minor - No.4: Fuga a due soggetti,"Haydn, Franz Joseph",The Haydn Project,,175.0,,,,,,https://music.youtube.com/watch?v=G7zEDlcABys,,
when-in-rome_254.jams,Prelude No.15,J.S. Bach,J.S. Bach: The Well-Tempered Clavier. Book I,,193.0,,,,,,https://music.youtube.com/watch?v=CciyAJfWuME,,
when-in-rome_192.jams,"Ohime`, se tanto amate",Claudio Monteverdi,For If Thou be My Heart,2,135.0,01/02/2022,,TWU712201216,1634525712.0,https://www.deezer.com/track/1634525712,https://music.youtube.com/watch?v=O_W3t4N6fPw,,
when-in-rome_346.jams,"Op. 131, Quartet No. 14",Beethoven,Beethoven: Wiener Philharmoniker,4,198.0,13/04/2023,,DEF059904622,2235263127.0,https://www.deezer.com/track/2235263127,https://music.youtube.com/watch?v=y7D6wu2GKjA,,
when-in-rome_203.jams,Io Pur Verra la Dove Sete,Claudio Monteverdi,L’Orfeo,40,135.2,,a8407cf7-ab35-4039-8e62-c9ed996da884,,,,https://music.youtube.com/watch?v=u8nRqaKp1OI,,
when-in-rome_350.jams,"Op. 131, Quartet No. 14",Beethoven,Beethoven: Wiener Philharmoniker,4,198.0,13/04/2023,,DEF059904622,2235263127.0,https://www.deezer.com/track/2235263127,https://music.youtube.com/watch?v=y7D6wu2GKjA,,
when-in-rome_215.jams,"Ach Gott, vom Himmel sieh' darein",J. S. Bach,The Sacred Cantatas,7,290.64,,8426c424-0878-4282-ae05-3f4022687934,,,,https://music.youtube.com/watch?v=Dt6NtjYzHfw,,
when-in-rome_48.jams,Und wüssten’s die Blumen,Robert Schumann,Deep Dive - Schumann,8,65.0,11/02/2022,713e4361-3523-46d2-adfb-4879759e3a2f,DEN961430608,1648857052.0,https://www.deezer.com/track/1648857052,https://music.youtube.com/watch?v=dLCUKkkZPhI,,
when-in-rome_429.jams,"24 Variationen uber Venni Amore von V. Righini, B065",Beethoven,Peaceful Piano Moods,4,47.413,,aa461fb5-27bb-4e90-a294-ef14bd22f4b4,,,,https://music.youtube.com/watch?v=JcBIdCm1tLo,,
when-in-rome_307.jams,String Quartet in C Major - No.4: Fuga a quattro soggeti: Allegro,"Haydn, Franz Joseph","Haydn 2032, no. 11: Au goût parisien",13,195.946,,9570c1c2-6145-44f8-b497-55477e977414,,,,https://music.youtube.com/watch?v=8PHh24ZU8qI,,
when-in-rome_242.jams,Prelude No.16,J.S. Bach,J.S. Bach: The Well-Tempered Clavier. Book I,,293.0,,,,,,https://music.youtube.com/watch?v=4ZN6CVBBLq4,,
when-in-rome_184.jams,"Voi Pur da me Partite, Anima Dura",Monteverdi,"Monteverdi: Madrigals, Book 4 (La Venexiana)",10,245.0,01/01/2004,01109138-01ca-4851-b818-319ee92c0926,ES7890400510,37527251.0,https://www.deezer.com/track/37527251,https://music.youtube.com/watch?v=E5PwtKgLerA,,
when-in-rome_393.jams,"9 Variationen uber ein Minuett von Duport, K573",Mozart,Inspired by Chopin,2,242.133,,10c165be-637c-4518-9810-cbc0d36723d2,,,,https://music.youtube.com/watch?v=qOWdbfIsmO4,,
when-in-rome_239.jams,Prelude No.20,J.S. Bach,J.S. Bach: The Well-Tempered Clavier. Book II,,360.0,,,,,,https://music.youtube.com/watch?v=ynrS36wvO8c,,
when-in-rome_405.jams,"Zwolf Variationen in C uber ein Menuett von Johann Christian Fischer, K179",Mozart,Inspired by Chopin,2,242.133,,10c165be-637c-4518-9810-cbc0d36723d2,,,,https://music.youtube.com/watch?v=d8bxYf6JGDc,,
when-in-rome_110.jams,Pause,Franz Schubert,The Most Beautiful Songs by Franz Schubert,62,287.0,30/01/2023,8a1e8a1d-a840-4177-964d-e5c04ae23336,DEN962030512,2119629777.0,https://www.deezer.com/track/2119629777,https://music.youtube.com/watch?v=3HQlsN_CcM8,,
