key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
b	[0.0, 10.0, 19.75, 0.0, 8.25, 3.0, 36.25, 12.5, 0.0, 0.0, 5.0, 33.25]	0.0	46.0	46.0	1	23	22
a	[0.0, 3.53, 2.51, 0.0, 4.54, 4.0, 0.51, 0.51, 2.51, 4.02, 1.02, 4.0]	46.0	56.0	10.04	24	28	4
c	[1.01, 0.0, 6.54, 2.53, 0.0, 2.5, 0.5, 8.58, 0.0, 0.5, 0.0, 4.04]	56.0	60.0	4.03	29	30	1
C	[3.75, 0.0, 1.0, 0.0, 5.0, 0.5, 0.0, 7.25, 0.0, 0.0, 0.0, 1.0]	60.0	63.5	3.5	31	32	1
b	[0.0, 0.75, 4.75, 0.0, 0.75, 1.5, 9.0, 2.0, 0.0, 0.0, 0.5, 6.0]	63.5	70.0	6.5	32	35	3
g	[1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0, 1.5, 0.0, 2.0, 0.0, 1.25]	70.0	74.0	4.0	36	37	1
a	[0.0, 2.28, 1.51, 0.0, 3.54, 2.0, 0.51, 0.51, 1.51, 2.52, 1.02, 2.0]	74.0	80.0	6.04	38	40	2
c	[1.01, 0.0, 6.54, 2.53, 0.0, 2.5, 0.5, 8.58, 0.0, 0.5, 0.0, 4.04]	80.0	84.0	4.03	41	42	1
C	[3.75, 0.0, 1.0, 0.0, 5.0, 0.5, 0.0, 7.25, 0.0, 0.0, 0.0, 1.0]	84.0	87.5	3.5	43	44	1
b	[0.0, 0.75, 6.5, 0.0, 0.75, 0.5, 12.0, 1.0, 0.0, 0.0, 0.5, 10.75]	87.5	94.0	6.5	44	48	4
