key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
Eb	[11.5, 0.5, 10.5, 40.5, 1.0, 17.0, 0.0, 32.5, 22.0, 1.0, 65.0, 0.0]	0.0	76.0	76.0	1	19	18
c	[5.5, 0.0, 1.5, 5.5, 0.0, 0.5, 0.0, 10.0, 0.0, 0.0, 0.0, 1.0]	76.0	84.0	8.0	20	21	1
Ab	[5.5, 0.5, 0.0, 10.0, 0.0, 0.0, 0.0, 1.0, 5.5, 0.0, 1.5, 0.0]	84.0	92.0	8.0	22	23	1
f	[25.0, 0.0, 0.0, 0.0, 2.5, 6.0, 0.0, 3.0, 3.5, 0.0, 0.0, 0.0]	92.0	103.0	11.0	24	26	2
Eb	[4.0, 4.5, 3.5, 20.5, 1.0, 8.0, 0.0, 15.5, 10.5, 1.0, 18.0, 0.0]	103.0	136.0	33.0	26	34	8
Ab	[25.5, 7.5, 0.0, 50.0, 0.0, 3.5, 0.0, 6.5, 35.5, 0.0, 8.5, 0.0]	136.0	184.0	48.0	35	46	11
f	[10.0, 0.0, 0.0, 0.0, 1.0, 7.5, 0.0, 0.5, 4.0, 0.0, 0.5, 0.0]	184.0	192.0	8.0	47	48	1
Db	[1.0, 8.0, 0.0, 0.5, 0.0, 4.0, 0.5, 0.0, 10.0, 0.0, 0.0, 0.0]	192.0	200.0	8.0	49	50	1
bb	[3.0, 3.5, 0.0, 0.0, 0.0, 24.5, 0.0, 0.0, 0.0, 2.5, 6.0, 0.0]	200.0	211.0	11.0	51	53	2
Ab	[12.5, 0.0, 0.0, 10.5, 0.0, 0.0, 0.0, 1.0, 9.5, 0.0, 0.5, 0.0]	211.0	224.0	13.0	53	56	3
Eb	[8.0, 0.5, 8.0, 28.5, 0.0, 12.5, 0.0, 19.5, 15.0, 0.0, 51.0, 0.0]	224.0	276.0	52.0	57	69	12
c	[5.5, 0.0, 1.5, 5.0, 0.0, 0.5, 0.0, 10.5, 0.0, 0.0, 0.0, 1.0]	276.0	284.0	8.0	70	71	1
Ab	[4.5, 0.5, 0.0, 10.5, 0.0, 0.0, 0.0, 1.0, 6.0, 0.0, 1.5, 0.0]	284.0	292.0	8.0	72	73	1
f	[24.5, 0.0, 0.0, 0.0, 2.5, 6.0, 0.0, 3.0, 3.5, 0.0, 0.0, 0.0]	292.0	303.0	11.0	74	76	2
Eb	[4.0, 4.5, 3.5, 20.5, 1.0, 8.0, 0.0, 15.5, 10.5, 1.0, 17.0, 0.0]	303.0	336.0	33.0	76	84	8
Ab	[27.0, 7.5, 0.0, 50.0, 0.0, 3.5, 0.0, 6.5, 35.0, 0.0, 8.5, 0.0]	336.0	384.0	48.0	85	96	11
f	[10.0, 0.0, 0.0, 0.0, 1.0, 7.5, 0.0, 0.5, 4.5, 0.0, 0.5, 0.0]	384.0	392.0	8.0	97	98	1
Db	[1.0, 8.5, 0.0, 0.5, 0.0, 4.0, 0.5, 0.0, 10.5, 0.0, 0.0, 0.0]	392.0	400.0	8.0	99	100	1
bb	[3.0, 3.5, 0.0, 0.0, 0.0, 25.5, 0.0, 0.0, 0.0, 2.5, 6.0, 0.0]	400.0	411.0	11.0	101	103	2
Ab	[12.5, 0.0, 0.0, 10.5, 0.0, 0.0, 0.0, 1.0, 10.5, 0.0, 0.5, 0.0]	411.0	424.0	13.0	103	106	3
Eb	[8.0, 0.5, 8.0, 28.5, 0.0, 12.5, 0.0, 19.5, 15.0, 0.0, 51.5, 0.0]	424.0	476.0	52.0	107	119	12
c	[5.5, 0.0, 1.5, 5.5, 0.0, 0.5, 0.0, 10.0, 0.0, 0.0, 0.0, 1.0]	476.0	484.0	8.0	120	121	1
Ab	[5.5, 0.5, 0.0, 10.0, 0.0, 0.0, 0.0, 1.0, 5.5, 0.0, 1.5, 0.0]	484.0	492.0	8.0	122	123	1
f	[24.5, 0.0, 0.0, 0.0, 2.5, 6.0, 0.0, 3.0, 3.5, 0.0, 0.0, 0.0]	492.0	503.0	11.0	124	126	2
Eb	[0.0, 0.0, 1.5, 15.0, 0.0, 0.5, 0.0, 9.0, 0.0, 0.0, 8.5, 0.0]	503.0	516.0	13.0	126	129	3
eb	[0.0, 0.0, 1.0, 9.0, 0.0, 1.0, 13.0, 0.0, 0.0, 0.0, 5.0, 9.5]	516.0	532.0	16.0	130	133	3
Cb	[0.0, 6.5, 0.0, 23.0, 6.5, 0.0, 38.5, 4.5, 12.5, 0.0, 3.5, 47.0]	532.0	584.0	52.0	134	146	12
Eb	[0.0, 0.0, 2.0, 9.5, 0.0, 2.0, 3.5, 2.5, 3.0, 0.0, 7.5, 0.0]	584.0	594.0	10.0	147	149	2
c	[4.0, 0.0, 1.5, 3.5, 0.0, 0.5, 0.0, 7.5, 0.0, 0.0, 0.0, 1.0]	594.0	600.0	6.0	149	150	1
Ab	[5.5, 0.5, 0.0, 10.0, 0.0, 0.0, 0.0, 1.0, 5.5, 0.0, 1.5, 0.0]	600.0	608.0	8.0	151	152	1
f	[25.0, 0.0, 0.0, 0.0, 2.5, 6.0, 0.0, 3.0, 3.5, 0.0, 0.0, 0.0]	608.0	619.0	11.0	153	155	2
Eb	[0.0, 0.0, 12.0, 48.5, 0.0, 5.0, 0.0, 27.5, 11.0, 0.0, 34.5, 0.0]	619.0	666.0	47.0	155	167	12
