id,title,artists,duration,mbid,jams_path
weimar_263,Muskrat Ramble,Kid Ory,18.113696145124717,4181ff38-0766-46fd-a8b7-32b9bf0e9dae,../../partitions/weimar/choco/jams/weimar_263.jams
weimar_264,Savoy Blues,Kid Ory,23.003854875283444,7cf8105b-55c8-4468-821e-d5b2989d639d,../../partitions/weimar/choco/jams/weimar_264.jams
weimar_265,Who's it,Kid Ory,36.53514739229025,d783e769-df40-4846-9b11-a2835fbe3df2,../../partitions/weimar/choco/jams/weimar_265.jams
weimar_266,All the Things You Are,Lee Konitz,150.78571428571428,baecbf47-c4e2-4acb-886b-2896341b21d8,../../partitions/weimar/choco/jams/weimar_266.jams
weimar_267,Bop Goes to Leesel,Lee Konitz,75.11106575963719,,../../partitions/weimar/choco/jams/weimar_267.jams
weimar_268,Crosscurrent,Lee Konitz,29.807936507936503,94f379da-5030-4cbf-95a8-372148a29376,../../partitions/weimar/choco/jams/weimar_268.jams
weimar_269,I'll Remember April,Lee Konitz,155.37596371882086,,../../partitions/weimar/choco/jams/weimar_269.jams
weimar_270,Marshmallow,Lee Konitz,51.58621315192744,4216288a-8fb9-40a8-a2ab-731de3411c47,../../partitions/weimar/choco/jams/weimar_270.jams
weimar_271,Mean to Me,Lee Konitz,139.42857142857144,fe4174a2-5d20-4d29-a41d-017c70deb789,../../partitions/weimar/choco/jams/weimar_271.jams
weimar_272,Tautology,Lee Konitz,59.1243537414966,50071276-eeac-4f5a-8a10-8f6ebb3e2ef7,../../partitions/weimar/choco/jams/weimar_272.jams
weimar_273,Wow,Lee Konitz,20.86893424036281,20c1afef-6aa7-4db4-88f1-a917954037e8,../../partitions/weimar/choco/jams/weimar_273.jams
weimar_274,Blue Train,Lee Morgan,107.17460317460316,59284d2d-dc82-4ba8-b42f-6c5d906e7e4a,../../partitions/weimar/choco/jams/weimar_274.jams
weimar_275,Just One of Those Things,Lee Morgan,96.97646258503401,f6f7d7b4-ad67-4551-ac4f-7a227e2478ca,../../partitions/weimar/choco/jams/weimar_275.jams
weimar_276,The Sidewinder,Lee Morgan,112.59591836734694,d3fcd032-0fb9-43d7-8aa5-a5794100d060,../../partitions/weimar/choco/jams/weimar_276.jams
weimar_277,Totem Pole,Lee Morgan,111.07619047619048,d3fcd032-0fb9-43d7-8aa5-a5794100d060,../../partitions/weimar/choco/jams/weimar_277.jams
weimar_278,After Theatre Jump,Lester Young,87.24054421768709,4dc02b92-34af-4185-ad08-b07daefe6db8,../../partitions/weimar/choco/jams/weimar_278.jams
weimar_279,Body and Soul,Lester Young,97.22965986394557,5b634d96-f7b6-4e58-a525-894498ef9b84,../../partitions/weimar/choco/jams/weimar_279.jams
