key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
d	[0.0, 3.0, 49.0, 0.0, 7.87, 25.13, 0.0, 8.25, 0.0, 35.0, 6.5, 0.0]	0.0	29.0	29.0	1	15	14
F	[9.0, 0.0, 1.0, 0.0, 3.0, 8.0, 0.0, 6.5, 0.0, 5.25, 1.75, 0.5]	29.0	37.5	8.5	15	19	4
Bb	[5.5, 0.0, 8.75, 1.0, 0.5, 10.5, 0.0, 1.0, 0.0, 2.0, 10.0, 0.0]	37.5	46.0	8.5	19	23	4
d	[0.0, 3.24, 66.0, 0.0, 17.62, 37.87, 0.0, 18.74, 0.0, 65.48, 16.5, 0.75]	46.0	93.0	46.99	24	47	23
F	[9.0, 0.0, 1.0, 0.0, 3.0, 8.0, 0.0, 6.5, 0.0, 5.25, 1.75, 0.5]	93.0	101.5	8.5	47	51	4
Bb	[5.5, 0.0, 8.75, 1.0, 0.5, 10.5, 0.0, 1.0, 0.0, 2.0, 10.0, 0.0]	101.5	110.0	8.5	51	55	4
d	[0.0, 3.0, 36.0, 0.0, 11.87, 23.13, 0.0, 10.75, 0.0, 52.0, 11.5, 0.0]	110.0	140.0	30.0	56	70	14
D	[0.0, 1.0, 33.5, 0.0, 5.0, 1.0, 14.5, 2.0, 4.0, 20.0, 0.0, 5.0]	140.0	157.5	17.5	71	79	8
G	[1.25, 0.5, 8.0, 0.0, 1.0, 0.0, 2.25, 7.25, 0.0, 5.75, 0.0, 5.75]	157.5	165.0	7.5	79	83	4
D	[0.0, 5.0, 45.5, 0.0, 18.0, 0.0, 26.0, 3.75, 7.0, 47.75, 0.0, 9.5]	165.0	193.5	28.5	83	97	14
d	[0.0, 3.0, 18.0, 0.0, 3.0, 13.0, 0.0, 6.0, 0.0, 41.0, 4.0, 0.0]	193.5	209.0	15.5	97	105	8
