key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
Eb	[6.0, 0.0, 3.25, 25.0, 0.0, 2.5, 0.0, 10.25, 2.0, 0.0, 19.0, 0.0]	0.0	22.5	22.5	1	15	14
Bb	[6.0, 0.0, 4.37, 4.12, 0.0, 2.99, 2.0, 0.0, 0.0, 2.74, 3.5, 0.0]	22.5	31.5	8.99	16	21	5
Eb	[5.74, 0.0, 4.12, 30.87, 0.0, 2.99, 0.0, 13.25, 6.98, 0.49, 17.99, 1.75]	31.5	57.0	25.48	22	38	16
Bb	[6.0, 0.0, 4.62, 4.12, 0.0, 3.74, 1.25, 0.0, 0.0, 2.74, 3.75, 0.0]	57.0	66.0	8.99	39	44	5
Eb	[2.74, 0.0, 3.37, 15.37, 0.0, 1.74, 0.0, 6.5, 6.48, 0.49, 12.49, 1.75]	66.0	81.0	14.98	45	54	9
Cb	[0.0, 4.0, 0.0, 3.75, 0.0, 0.0, 5.25, 0.0, 0.0, 0.0, 0.25, 5.5]	81.0	85.5	4.5	55	57	2
Ab	[3.0, 1.5, 0.5, 8.5, 0.0, 3.75, 0.0, 3.0, 12.0, 0.0, 3.75, 0.0]	85.5	91.5	6.0	58	61	3
Eb	[1.74, 0.0, 2.61, 11.86, 0.0, 1.24, 0.0, 3.75, 3.73, 0.74, 10.22, 0.0]	91.5	102.0	10.47	62	68	6
Cb	[0.0, 4.0, 0.0, 3.75, 0.0, 0.0, 5.25, 0.0, 0.0, 0.0, 0.25, 5.5]	102.0	106.5	4.5	69	71	2
Ab	[3.0, 1.5, 0.5, 8.5, 0.0, 3.75, 0.0, 3.0, 12.0, 0.0, 5.25, 0.0]	106.5	112.5	6.0	72	75	3
Eb	[1.74, 0.0, 3.36, 13.85, 0.0, 2.25, 0.0, 5.99, 3.24, 0.61, 15.43, 0.0]	112.5	121.5	8.96	76	82	6
