original,converted
Bb7,Bb:7
C7,C:7
F7,F:7
Eb7,Eb:7
Ab,Ab:maj
Db7,Db:7
Bbm7b5,Bb:hdim7
NC,N
Bb-7,Bb:min7
F-7,F:min7
