original,converted
Ab-7,Ab:min7
B7,B:7
A7913b,A:9(1b13)
F#7,F#:7
F7,F:7
Bb7,Bb:7
B+7,B:aug(b7)
F#-7,F#:min7
G-7,G:min7
Bo,B:dim
