original,converted
F7,F:7
Gm7b5,G:hdim7
Bb7,Bb:7
Eb7,Eb:7
Ab6,Ab:maj6
Bb-7,Bb:min7
NC,N
C7,C:7
G7,G:7
F-7,F:min7
