original,converted
Ab7,Ab:7
Eb-7,Eb:min7
F-6,F:min6
G7,G:7
Dbj7,Db:maj7
C-7,C:min7
Dm7b5,D:hdim7
Gm7b5,G:hdim7
F-7,F:min7
C6,C:maj6
