original,converted
Bb-7,Bb:min7
Bj7,B:maj7
C-,C:min
Bbj7911#,Bb:maj9(#11)
Eb-,Eb:min
Bj7911#,B:maj9(#11)
Bb-,Bb:min
F#j7,F#:maj7
G-7,G:min7
