original,converted
G-7,G:min7
Ebsus79,"Eb:sus4(b7,9)"
Eb-7,Eb:min7
Ej7/D#,E:maj7/7
Bb7,Bb:7
Ej7911#,E:maj9(#11)
Bbsus79,"Bb:sus4(b7,9)"
Ebj7,Eb:maj7
Ab-7,Ab:min7
D+79#,"D:aug(9,7)"
