original,converted
E-7,E:min7
Em7b5,E:hdim7
G-7,G:min7
Fo,F:dim
Fj7,F:maj7
Dj7,D:maj7
A7,A:7
G#m7b5,G#:hdim7
E7,E:7
F#-7,F#:min7
