original,converted
Bb-7,Bb:min7
Dbj7,Db:maj7
NC,N
B7,B:7
Eb-7,Eb:min7
C7,C:7
Ab,Ab:maj
F-7,F:min7
Ab7,Ab:7
Eb7,Eb:7
