original,converted
Ebj7911#,Eb:maj9(#11)
Fj7,F:maj7
Db-7,Db:min7
G7,G:7
E7alt,"E:(3,b5,b7,b9,b13)"
Db7911#,Db:9(#11)
G-7,G:min7
D-79,D:min9
Ebj7,Eb:maj7
Gb7,Gb:7
