original,converted
F7,F:7
Db7,Db:7
Gb7,Gb:7
D7,D:7
Eb7,Eb:7
G7,G:7
D-7,D:min7
Ab7alt,"Ab:(3,b5,b7,b9,b13)"
C-7,C:min7
A7913b,A:9(1b13)
