original,converted
Eb7,Eb:7
Ab7,Ab:7
G-7,G:min7
F-7,F:min7
Ab-6,Ab:min6
Ab-7,Ab:min7
C7,C:7
Db7,Db:7
Bb7,Bb:7
Ebj7,Eb:maj7
