original,converted
E-7,E:min7
Am7b5,A:hdim7
Eb/E,Eb:maj/#1
B/G,B:maj/b6
Db/D,Db:maj/#1
B79b,B:7(b9)
D7,D:7
C7911#,C:9(#11)
D/Eb,D:maj/b9
F7alt,"F:(3,b5,b7,b9,b13)"
