original,converted
Bb-7,Bb:min7
Eb7,Eb:7
F-7,F:min7
C-7,C:min7
G7,G:7
Cj7,C:maj7
A-7,A:min7
F7,F:7
Abj7,Ab:maj7
E-7,E:min7
