original,converted
Bj7,B:maj7
Gb7,Gb:7
F-7,F:min7
Ab-7,Ab:min7
D-7,D:min7
Bb7,Bb:7
Db-7,Db:min7
Bbm7b5,Bb:hdim7
Eb-7,Eb:min7
B7,B:7
