original,converted
Bb7,Bb:7
Bbj7,Bb:maj7
G79b,G:7(b9)
F7,F:7
Ebj7,Eb:maj7
F-7,F:min7
C-7,C:min7
G7,G:7
C79b,C:7(b9)
NC,N
