original,converted
G7,G:7
Dm7b5,D:hdim7
B79b,B:7(b9)
Ej7,E:maj7
A7alt,"A:(3,b5,b7,b9,b13)"
Fj7,F:maj7
Em7b5,E:hdim7
Bm7b5,B:hdim7
D-7,D:min7
A-7,A:min7
