original,converted
Bb7,Bb:7
G-7,G:min7
Db7,Db:7
Eb,Eb:maj
F-7,F:min7
Ebj7,Eb:maj7
G7,G:7
Ab7,Ab:7
C7,C:7
C-7,C:min7
