original,converted
F-7,F:min7
E-7,E:min7
G7,G:7
D7,D:7
B7,B:7
Ab7,Ab:7
F7,F:7
Bb79b,Bb:7(b9)
Eb-7,Eb:min7
G-7,G:min7
